success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,rodinia-myocyte-2,true,315812,0.2986278533935547,322462,21155ec6a144b11b9268bae243b36375
true,rodinia-needle-2,true,1461874,1.453901767730713,1463562,ee5cc3efb7318ba16a7b59b226726e47
true,rodinia-lavamd-3,true,642068,0.6336443424224854,643952,16e024fca8500ab2b2c717a7c9ffc251
true,rodinia-lavamd-4,true,649958,0.6412448883056641,651515,0ff5e1f152695adef9f2e91d892e51ff
true,rodinia-srad-4,true,1844461,1.7275197505950928,3037909,f36c998b080f2ef6b1758d48251cd167
true,rodinia-lavamd-4,false,676197,0.66890549659729,677877,86725fd5e8e73cb15b3c6d08791b9cb7
true,squeezenet-1,true,3695696,3.689624786376953,3697323,0177dd5a5b6b61bb6be410cf7de680c3
true,onnx-roberta-0,true,5220606,1.0619690418243408,7054804,c368941b4d906b6e3391fa2c9dd5f591
true,rodinia-lud-0,true,430365,0.42298316955566406,453267,d27907789cfaa5c27256d9bd436967f2
true,rodinia-lavamd-1,true,721214,0.5881388187408447,3411176,a63ea4a60f4b99b9561e7622c2106521
true,squeezenet-0,true,2718142,2.7127368450164795,5598662,226fc6bba944064e3c124993f74f333e
true,rodinia-needle-3,true,1596117,1.4944965839385986,5935340,a71899039248590674866ff48cf820d6
true,rodinia-lavamd-4,false,581158,0.5758647918701172,2313928,79a839c74856ed8e01f3a52c67f5999c
true,cupy-1,true,2875232,2.651845932006836,13075451,951846d7a3615db9748af88b431e375c
true,onnx-roberta-2,true,5588349,1.0983681678771973,11606183,636089edf2df193e397a63dc4a85de24
true,squeezenet-0,false,1083447,1.0783517360687256,4255946,bc2b606a61426968738bf8be269d4c94
true,rodinia-needle-4,true,1545219,1.4093482494354248,3268574,c905c2f41f4caa23f946e5eada86c031
true,rodinia-lud-4,true,629721,0.519291877746582,5207038,1de1b20ebf206703ce69b922c043f001
true,torch_rnn-1,true,2585728,2.57684326171875,4079001,dc4f15619d25a77cdb7a10fdbacaa75e
true,rodinia-needle-2,false,1435835,1.4293737411499023,6331868,180bafe4e1182b90e9f066a9dac42b70
true,onnx-roberta-0,false,183486,0.1731560230255127,577321,424c107002b4f1f064776bf99635741a
true,rodinia-myocyte-2,false,270083,0.26041388511657715,276544,a8bedd1343e8c6e31037861f6667d2ad
true,rodinia-pathfinder-4,true,574380,0.4766557216644287,2175716,12b19bf53d2564edfbf84eb41dcbe3f6
true,rodinia-srad-0,true,1748914,1.7408220767974854,2366952,a8aa3b7be52029cfe9048d0097f511f0
true,rodinia-lud-4,false,451839,0.4450759887695313,453420,560022d0db8db6c140965ca2931e8771
true,rodinia-needle-2,false,1503683,1.496229648590088,1505307,bfd58cb2863ee240cc3fbf62a3995634
true,rodinia-lud-4,false,434062,0.4279499053955078,1255979,b6f47fac3754a1185b8c9059f9453362
true,rodinia-lud-2,true,543662,0.44681668281555176,2361021,574c857d7ae463abbe0f6994df37bcd6
true,torch_rnn-0,true,3794548,2.3090035915374756,5213866,9e8742190f391b2fe8ab1159a624ce02
true,squeezenet-0,false,1091298,1.0879998207092283,1093718,74608333763555be79e072939117ee4f
true,torch_rnn-1,false,53296,0.049269676208496094,55265,2ca4ceba35d1856b8431e41a10741721
true,rodinia-lavamd-1,false,583488,0.5773253440856934,620641,bd4926ee4440f94f609f8d5d61bf1608
true,squeezenet-1,false,1129847,1.1260411739349363,1131483,ad9bd4a16f4e47f05f73157a2dc73aea
true,rodinia-pathfinder-2,true,500883,0.3968503475189209,1803080,80e6dacad02ab99f22520f97d7a47321
true,rodinia-lavamd-1,false,629257,0.6215667724609375,631182,1fe824277c6d3e68d280c9d442a62d3d
true,squeezenet-1,false,1110203,1.1054949760437012,1111980,fa4c32da45c6eb69e1f6843bfc1477e8
true,rodinia-needle-4,false,1418762,1.4131152629852295,1420235,ffb0811c08515fc1b8ea8283e3a9a1f2
true,cupy-2,true,2648329,2.4154162406921387,3977363,9b0413dc5563e4534632dbad1dcc5017
true,rodinia-myocyte-4,true,323907,0.22547268867492676,1815325,d33ed316c76e68c6819ef1f3923b1cc9
true,torch_rnn-0,false,45330,0.037301063537597656,46894,708536efdc83d94795af8e977987a0ad
true,rodinia-lud-0,false,449956,0.4452219009399414,451591,c990cf856d6b2db88b69f8df2adefa1f
true,squeezenet-0,false,1042827,0.9918336868286132,1044383,81129390e7fde91dace5d1a309b2e1b4
true,rodinia-needle-3,false,1291985,1.2866337299346924,1355837,1bf1377fe8c269b157fc75ca80853252
true,rodinia-pathfinder-2,false,444599,0.438917875289917,446325,702342935b28c0149f3bb48ed21fbd99
true,rodinia-needle-2,false,1408547,1.4018781185150146,1410153,b09399ae5f826b8a0a41bb34247c6496
true,rodinia-srad-4,false,1859850,1.852241277694702,1861539,5c5b481efd052115725fb71430a4e67b
true,squeezenet-1,false,1112189,1.1081221103668213,1113798,64fff8ac5e0fc6ff34b3536bb04a6f0f
true,rodinia-needle-2,true,1416221,1.314380168914795,3322418,6cc2cc3fc5bb7b0b32619b52784cbfcd
true,rodinia-lavamd-3,false,606550,0.6011483669281006,1122607,5aa63cc833de85f15d99d763f655f1c1
true,torch_rnn-1,false,77578,0.07297897338867188,79177,aca6d63453fc607dca6ac9a559eb5a24
true,rodinia-lud-0,false,440957,0.4331817626953125,442814,59602b76f2306aa835d03df4867184d4
true,onnx-roberta-1,true,1117485,1.0975499153137207,1119192,0b203f510fd44bbe3e624c8bb6da9ac3
true,onnx-roberta-4,true,5881634,1.3150813579559326,7210594,daa83c73a40b194d568356beff31a99a
true,cupy-1,false,1327160,1.3238556385040283,1328828,19aa0d51fac2cac733ce890a6b1afcb1
true,rodinia-needle-3,true,1533598,1.5267095565795898,1534888,8cf5fdbca4999c2a799a75b1260702e0
true,rodinia-srad-0,false,1852264,1.8473687171936035,1853650,efe279f61a6d9c30272f3325e7e75e3b
true,rodinia-needle-2,false,1316060,1.308480739593506,3097188,66337ff64334393f13680a3d79b64585
true,rodinia-lud-2,false,445646,0.4401383399963379,948630,3b949b8af2c95b0ea9c9154f5e82119c
true,onnx-roberta-0,true,1156381,1.141819953918457,1157773,8ae2227768c4c5f9b6460fc4d51c6e7d
true,rodinia-myocyte-3,true,293660,0.1896677017211914,1466983,362d4e299059485ec0043a3783df1a5b
true,rodinia-needle-4,false,1342511,1.335538625717163,1344163,a9acf2700a04586210086ef4e74b722b
true,rodinia-needle-3,false,89072,0.08424592018127441,90376,3901438884ecc6bcb5065f0c03e28769
true,squeezenet-1,false,1699610,1.6466233730316162,1701235,5eff85f68b58179713897bd8dc7c756a
true,rodinia-pathfinder-4,false,466947,0.4591217041015625,469000,2c4e034bfe15b5eee2bc66423a7cc2db
true,rodinia-pathfinder-4,true,518809,0.4052128791809082,1927888,d286572a10c3ce5aef80bca7fddc19f6
true,squeezenet-0,false,1208275,1.156144142150879,1210505,f920b2455dd1656f50ecacbafaefaa18
