func_name,invoke_time_ms
rodinia-myocyte-2,2860
rodinia-needle-2,5729
rodinia-lavamd-3,6520
rodinia-lavamd-4,7404
rodinia-srad-4,8785
rodinia-lavamd-4,9695
squeezenet-1,10959
onnx-roberta-0,11787
rodinia-lud-0,11801
rodinia-lavamd-1,14079
squeezenet-0,14611
rodinia-needle-3,15642
rodinia-lavamd-4,15758
cupy-1,15782
onnx-roberta-2,16661
squeezenet-0,17037
rodinia-needle-4,17644
rodinia-lud-4,18501
torch_rnn-1,19420
rodinia-needle-2,19718
onnx-roberta-0,20900
rodinia-myocyte-2,22404
rodinia-pathfinder-4,22438
rodinia-srad-0,22881
rodinia-lud-4,25982
rodinia-needle-2,26525
rodinia-lud-4,27446
rodinia-lud-2,27455
torch_rnn-0,29078
squeezenet-0,32198
torch_rnn-1,32293
rodinia-lavamd-1,32311
squeezenet-1,33119
rodinia-pathfinder-2,34952
rodinia-lavamd-1,35902
squeezenet-1,39074
rodinia-needle-4,39239
cupy-2,39805
rodinia-myocyte-4,40018
torch_rnn-0,40467
rodinia-lud-0,40992
squeezenet-0,41595
rodinia-needle-3,41769
rodinia-pathfinder-2,45462
rodinia-needle-2,45657
rodinia-srad-4,46074
squeezenet-1,46167
rodinia-needle-2,46356
rodinia-lavamd-3,47420
torch_rnn-1,49120
rodinia-lud-0,49264
onnx-roberta-1,50006
onnx-roberta-4,55696
cupy-1,56498
rodinia-needle-3,57951
rodinia-srad-0,58786
rodinia-needle-2,58859
rodinia-lud-2,59918
onnx-roberta-0,62284
rodinia-myocyte-3,63032
rodinia-needle-4,63369
rodinia-needle-3,69492
squeezenet-1,70003
rodinia-pathfinder-4,72553
rodinia-pathfinder-4,72621
squeezenet-0,75207
rodinia-needle-3,76167
rodinia-srad-1,77017
rodinia-needle-3,77075
rodinia-needle-3,77091
rodinia-pathfinder-4,78242
rodinia-pathfinder-3,79549
rodinia-lavamd-3,79992
rodinia-needle-4,80068
rodinia-lud-1,80735
rodinia-srad-1,81380
rodinia-myocyte-2,81810
rodinia-srad-0,84162
rodinia-myocyte-2,84367
rodinia-lud-4,85471
rodinia-myocyte-4,89446
onnx-roberta-2,90866
rodinia-lud-1,91309
torch_rnn-1,91630
rodinia-needle-3,92933
rodinia-lud-4,93339
rodinia-srad-1,95155
rodinia-needle-3,96206
squeezenet-1,96550
rodinia-needle-2,98296
rodinia-pathfinder-0,100019
rodinia-lud-0,100668
rodinia-lud-0,100672
onnx-roberta-3,101340
