func_name,invoke_time_ms
onnx-roberta-2,951
rodinia-myocyte-2,2901
rodinia-needle-4,2961
torch_rnn-0,3167
onnx-roberta-2,5669
rodinia-lavamd-1,5847
rodinia-lavamd-3,5916
rodinia-needle-3,8301
rodinia-myocyte-0,8463
rodinia-srad-2,10720
rodinia-needle-3,10929
rodinia-needle-3,11488
rodinia-needle-2,11506
rodinia-srad-3,13222
torch_rnn-1,13825
rodinia-pathfinder-2,15516
onnx-roberta-1,15881
rodinia-myocyte-3,17787
onnx-roberta-1,18183
rodinia-needle-4,22742
rodinia-pathfinder-3,23806
rodinia-myocyte-4,24037
rodinia-needle-2,24336
rodinia-needle-3,25093
cupy-1,26810
rodinia-needle-4,27873
rodinia-pathfinder-4,28191
rodinia-needle-4,29244
rodinia-myocyte-4,29397
rodinia-needle-2,31257
rodinia-needle-3,32304
squeezenet-1,32939
cupy-1,34571
cupy-1,35072
rodinia-needle-4,37690
rodinia-pathfinder-2,38002
onnx-roberta-4,40140
rodinia-lavamd-1,40204
rodinia-myocyte-2,40298
onnx-roberta-3,40699
cupy-1,42942
rodinia-pathfinder-1,44109
rodinia-lavamd-1,44704
rodinia-needle-4,49397
rodinia-lavamd-1,50792
torch_rnn-2,55121
rodinia-myocyte-2,56167
cupy-1,57118
rodinia-pathfinder-4,57230
rodinia-pathfinder-4,58278
rodinia-needle-4,58623
rodinia-lud-3,58740
onnx-roberta-0,60435
rodinia-pathfinder-0,60544
rodinia-myocyte-2,62332
rodinia-needle-2,63032
onnx-roberta-1,63152
rodinia-pathfinder-4,64743
onnx-roberta-0,64842
rodinia-needle-3,65486
rodinia-srad-0,66819
rodinia-needle-4,69115
rodinia-lavamd-2,69209
rodinia-srad-4,69520
rodinia-pathfinder-3,69597
rodinia-needle-3,70765
onnx-roberta-4,70880
onnx-roberta-1,72614
rodinia-srad-1,73012
rodinia-pathfinder-0,73637
cupy-1,73666
rodinia-lavamd-4,73871
rodinia-srad-4,74219
torch_rnn-1,75061
rodinia-lud-4,75695
rodinia-lud-4,76094
squeezenet-0,78914
squeezenet-0,79008
rodinia-lud-2,81606
rodinia-needle-3,81799
rodinia-lud-4,82330
rodinia-lud-0,82715
rodinia-pathfinder-0,83436
rodinia-lud-0,84007
rodinia-srad-1,84904
rodinia-lavamd-4,85283
cupy-1,85702
rodinia-pathfinder-1,85822
rodinia-lud-1,86192
rodinia-lavamd-4,86637
squeezenet-0,87268
rodinia-needle-4,88726
squeezenet-2,88760
onnx-roberta-2,88975
rodinia-needle-2,89073
rodinia-lud-1,90147
rodinia-srad-2,90338
rodinia-lud-1,90537
rodinia-srad-4,91588
torch_rnn-2,92317
rodinia-pathfinder-2,92655
rodinia-pathfinder-1,93026
rodinia-needle-2,96394
onnx-roberta-1,97486
rodinia-lavamd-1,97987
onnx-roberta-0,98668
rodinia-pathfinder-4,100591
rodinia-needle-2,101726
rodinia-pathfinder-1,101751
cupy-2,101851
rodinia-myocyte-2,102067
rodinia-needle-4,105894
rodinia-needle-2,107752
rodinia-lud-3,108443
cupy-1,109275
torch_rnn-1,109710
rodinia-lud-1,110701
onnx-roberta-3,113600
torch_rnn-2,114155
rodinia-lud-4,114984
squeezenet-1,115295
squeezenet-1,115889
onnx-roberta-2,118499
rodinia-myocyte-0,123711
rodinia-myocyte-2,123984
rodinia-lud-1,125301
onnx-roberta-3,126616
squeezenet-2,128048
onnx-roberta-4,128497
rodinia-pathfinder-4,128993
rodinia-lavamd-4,130713
rodinia-lavamd-2,131026
onnx-roberta-1,132230
rodinia-needle-2,132797
onnx-roberta-2,135123
cupy-1,136663
onnx-roberta-4,137741
rodinia-needle-3,142696
rodinia-lavamd-3,142831
rodinia-pathfinder-0,142854
onnx-roberta-1,145130
torch_rnn-0,145991
rodinia-myocyte-2,146216
rodinia-myocyte-2,146590
rodinia-pathfinder-0,147566
rodinia-lavamd-3,147686
rodinia-needle-2,149039
rodinia-pathfinder-4,149501
rodinia-lavamd-1,151297
onnx-roberta-2,151606
rodinia-needle-2,153699
rodinia-lavamd-4,156477
rodinia-myocyte-2,156891
rodinia-needle-3,159601
torch_rnn-0,163799
rodinia-myocyte-2,167250
rodinia-srad-0,169001
rodinia-pathfinder-4,171580
rodinia-lud-4,172249
