func_name,invoke_time_ms
torch_rnn-2,773
rodinia-needle-3,1032
rodinia-needle-3,1332
rodinia-needle-4,3149
torch_rnn-4,3273
torch_rnn-1,4810
cupy-0,4885
rodinia-srad-4,5091
rodinia-lud-3,6758
onnx-roberta-2,7072
rodinia-lud-0,7121
rodinia-lud-4,8447
rodinia-pathfinder-0,8660
squeezenet-1,10238
rodinia-myocyte-2,10774
rodinia-lud-1,12044
cupy-1,12352
rodinia-lud-4,12431
cupy-2,13311
rodinia-myocyte-2,14743
rodinia-needle-2,15716
rodinia-needle-3,16189
squeezenet-1,18436
rodinia-srad-4,21022
rodinia-needle-4,21402
rodinia-lavamd-1,24180
rodinia-pathfinder-4,26022
onnx-roberta-4,26823
squeezenet-1,28680
rodinia-srad-1,29417
onnx-roberta-2,29672
rodinia-srad-0,30291
rodinia-pathfinder-0,33759
onnx-roberta-0,33976
onnx-roberta-2,34112
onnx-roberta-2,37011
torch_rnn-0,37045
onnx-roberta-0,37422
rodinia-needle-2,37743
rodinia-needle-3,42598
rodinia-lud-3,42943
onnx-roberta-4,43778
rodinia-pathfinder-1,44084
rodinia-lud-1,44618
cupy-1,44925
rodinia-lud-1,44940
rodinia-needle-3,45314
rodinia-lud-4,46243
onnx-roberta-2,47139
rodinia-lavamd-3,47543
rodinia-needle-2,47717
squeezenet-0,48727
onnx-roberta-1,49808
rodinia-needle-2,50855
cupy-1,51230
rodinia-needle-2,51958
cupy-1,52180
rodinia-myocyte-4,52294
rodinia-pathfinder-2,53358
rodinia-needle-3,53467
rodinia-myocyte-2,53888
rodinia-pathfinder-0,54163
rodinia-needle-3,54417
rodinia-needle-3,55020
rodinia-pathfinder-2,56110
squeezenet-1,56886
onnx-roberta-3,56965
rodinia-lud-4,57597
rodinia-lud-4,58651
onnx-roberta-4,59774
rodinia-needle-3,59829
cupy-4,59908
rodinia-srad-0,60288
rodinia-needle-4,60796
cupy-2,61421
rodinia-srad-1,61849
rodinia-pathfinder-4,63232
squeezenet-1,64687
rodinia-lavamd-1,65690
squeezenet-0,66751
rodinia-pathfinder-3,66888
rodinia-needle-4,67869
torch_rnn-0,68166
