func_name,invoke_time_ms
onnx-roberta-1,580
onnx-roberta-2,704
onnx-roberta-1,1293
rodinia-pathfinder-0,1373
rodinia-myocyte-2,2134
rodinia-srad-3,2459
rodinia-lud-4,3606
rodinia-lud-3,3733
torch_rnn-0,3977
rodinia-needle-2,4454
torch_rnn-2,4803
rodinia-lud-3,4812
rodinia-pathfinder-2,4899
torch_rnn-0,5401
rodinia-pathfinder-0,5525
rodinia-lud-0,5575
rodinia-pathfinder-0,6833
rodinia-srad-4,7000
onnx-roberta-0,7025
rodinia-needle-4,7482
rodinia-lavamd-3,7648
torch_rnn-1,7745
onnx-roberta-4,7800
cupy-1,8148
rodinia-needle-2,8229
rodinia-pathfinder-4,10338
onnx-roberta-0,10502
rodinia-myocyte-2,11435
rodinia-lud-4,11953
rodinia-lavamd-3,12912
rodinia-lavamd-3,13167
rodinia-needle-4,13276
rodinia-pathfinder-3,13534
cupy-2,15717
rodinia-srad-0,16691
onnx-roberta-0,17132
rodinia-pathfinder-4,17191
squeezenet-1,17334
cupy-2,17421
rodinia-myocyte-2,18347
rodinia-lavamd-1,19062
rodinia-pathfinder-0,19264
rodinia-lud-0,19698
rodinia-lavamd-3,19825
rodinia-lud-3,20084
onnx-roberta-4,20554
onnx-roberta-0,21739
onnx-roberta-3,22351
rodinia-needle-4,22583
rodinia-myocyte-4,23508
onnx-roberta-1,24215
rodinia-lud-1,24342
rodinia-lud-4,25250
rodinia-needle-2,25347
rodinia-myocyte-2,25588
rodinia-myocyte-2,25792
rodinia-srad-4,25829
rodinia-lud-0,26312
rodinia-lud-3,26905
onnx-roberta-3,28103
rodinia-needle-4,28323
rodinia-pathfinder-4,28853
rodinia-lud-4,28922
rodinia-myocyte-4,29011
cupy-1,30250
rodinia-lud-2,30389
rodinia-lud-0,30783
rodinia-lud-0,31087
rodinia-pathfinder-0,32582
rodinia-lavamd-1,33946
squeezenet-0,33956
rodinia-needle-4,34384
rodinia-lud-3,34448
squeezenet-1,34658
rodinia-srad-1,34815
rodinia-pathfinder-0,35021
cupy-1,35102
rodinia-lavamd-1,35556
rodinia-needle-2,36039
onnx-roberta-1,36109
torch_rnn-0,36353
rodinia-lud-3,37136
rodinia-needle-3,38444
rodinia-pathfinder-3,39180
onnx-roberta-1,39398
rodinia-lavamd-3,39442
squeezenet-1,39552
rodinia-needle-4,39646
squeezenet-1,39791
rodinia-srad-1,39864
cupy-1,40222
rodinia-pathfinder-3,41297
onnx-roberta-0,41943
onnx-roberta-0,42458
rodinia-lavamd-2,43324
rodinia-lud-4,43479
rodinia-needle-4,44166
onnx-roberta-3,45590
cupy-1,45853
rodinia-lud-0,46270
rodinia-lavamd-3,47771
rodinia-needle-2,47832
rodinia-pathfinder-1,48482
rodinia-lavamd-4,48547
