func_name,invoke_time_ms
pyhpc-eos-2,1779
pyhpc-eos-4,2305
squeezenet-4,7760
pyhpc-eos-4,14575
cupy-2,17830
torch_rnn-3,19996
torch_rnn-0,21458
pyhpc-isoneural-0,22189
torch_rnn-2,24460
pyhpc-isoneural-1,26917
pyhpc-eos-3,27045
squeezenet-2,29741
onnx-roberta-3,31989
cupy-0,35519
squeezenet-4,36583
pyhpc-eos-2,36895
onnx-roberta-0,39169
onnx-roberta-2,40861
pyhpc-eos-1,42059
squeezenet-0,45419
onnx-roberta-1,46748
pyhpc-eos-3,52029
squeezenet-1,52318
pyhpc-eos-3,55007
pyhpc-eos-3,55889
pyhpc-isoneural-2,56736
onnx-roberta-4,58950
torch_rnn-1,58978
pyhpc-eos-4,62264
pyhpc-isoneural-4,66439
squeezenet-2,66791
torch_rnn-0,69895
onnx-roberta-0,70493
pyhpc-eos-1,70635
pyhpc-eos-1,70853
pyhpc-eos-2,71566
cupy-4,72643
pyhpc-eos-0,73512
squeezenet-1,76677
pyhpc-eos-4,77465
pyhpc-isoneural-0,79412
pyhpc-eos-1,81975
cupy-2,83036
onnx-roberta-3,83294
squeezenet-2,83612
onnx-roberta-4,84043
onnx-roberta-2,84260
cupy-4,84548
pyhpc-eos-3,87080
torch_rnn-4,87518
squeezenet-0,88614
onnx-roberta-1,89065
pyhpc-isoneural-3,91699
cupy-4,92351
onnx-roberta-3,93074
pyhpc-eos-2,96775
pyhpc-eos-4,98031
onnx-roberta-2,98277
onnx-roberta-3,98650
squeezenet-2,98907
pyhpc-eos-3,100833
pyhpc-eos-2,101040
cupy-1,102386
onnx-roberta-4,102457
onnx-roberta-4,102827
onnx-roberta-3,103212
pyhpc-eos-1,104925
onnx-roberta-3,105680
pyhpc-eos-1,106522
onnx-roberta-3,110109
squeezenet-2,112244
pyhpc-eos-3,112578
pyhpc-isoneural-3,113431
pyhpc-eos-0,116960
pyhpc-isoneural-3,117625
pyhpc-isoneural-3,118584
squeezenet-4,119388
cupy-4,121068
squeezenet-0,121255
onnx-roberta-1,121780
pyhpc-eos-1,123043
cupy-2,124168
onnx-roberta-0,124584
pyhpc-eos-3,124676
torch_rnn-2,125354
onnx-roberta-4,125526
torch_rnn-4,126354
pyhpc-isoneural-2,126632
squeezenet-0,127438
onnx-roberta-1,127936
squeezenet-2,129065
squeezenet-2,129070
onnx-roberta-4,130517
squeezenet-1,132727
cupy-2,133098
squeezenet-0,133478
onnx-roberta-1,136187
squeezenet-0,137319
pyhpc-isoneural-1,138140
cupy-2,138311
onnx-roberta-2,139247
pyhpc-isoneural-1,139977
onnx-roberta-0,140032
onnx-roberta-2,140328
squeezenet-1,140358
pyhpc-eos-0,142263
torch_rnn-1,143428
pyhpc-isoneural-1,144572
onnx-roberta-3,147219
pyhpc-eos-0,147637
pyhpc-eos-2,148678
cupy-4,148821
squeezenet-1,148930
onnx-roberta-2,149114
cupy-4,149706
onnx-roberta-0,151706
pyhpc-isoneural-0,153559
pyhpc-eos-0,154072
pyhpc-isoneural-0,155886
pyhpc-eos-3,159619
pyhpc-eos-4,160492
squeezenet-4,161109
pyhpc-eos-3,161510
squeezenet-2,161900
onnx-roberta-1,162564
cupy-1,163167
torch_rnn-4,163659
onnx-roberta-2,163736
cupy-1,163952
cupy-4,164211
pyhpc-isoneural-3,164558
onnx-roberta-4,167216
pyhpc-eos-4,168067
pyhpc-eos-1,168648
onnx-roberta-0,169337
cupy-0,169435
squeezenet-1,170723
cupy-2,171052
pyhpc-isoneural-2,171928
squeezenet-0,174934
pyhpc-eos-1,175100
cupy-1,181080
pyhpc-eos-0,181899
pyhpc-isoneural-0,183823
cupy-2,184169
cupy-0,185423
pyhpc-isoneural-1,187647
pyhpc-eos-2,188054
cupy-4,193807
cupy-4,193939
squeezenet-2,194294
torch_rnn-3,194305
cupy-0,197289
onnx-roberta-1,198348
pyhpc-isoneural-1,198454
torch_rnn-4,198803
onnx-roberta-2,198957
pyhpc-isoneural-1,199539
pyhpc-eos-3,199655
torch_rnn-4,203741
onnx-roberta-2,203959
torch_rnn-0,205202
pyhpc-isoneural-0,205432
pyhpc-eos-0,205757
pyhpc-eos-4,206846
pyhpc-isoneural-3,206987
squeezenet-2,207422
onnx-roberta-0,207612
cupy-0,208954
squeezenet-2,209967
torch_rnn-3,211334
pyhpc-eos-0,214244
pyhpc-isoneural-0,219860
cupy-4,220674
pyhpc-isoneural-3,221138
squeezenet-0,221192
onnx-roberta-3,221634
cupy-4,222402
squeezenet-0,222583
squeezenet-1,223754
pyhpc-eos-1,226133
torch_rnn-4,227150
cupy-0,230136
pyhpc-eos-4,230673
onnx-roberta-4,232441
squeezenet-0,233182
pyhpc-eos-0,233993
onnx-roberta-4,234392
cupy-0,234663
torch_rnn-0,235493
pyhpc-eos-2,235822
torch_rnn-0,237360
onnx-roberta-4,237588
cupy-2,244317
cupy-1,246148
squeezenet-4,248005
pyhpc-isoneural-1,248554
onnx-roberta-3,248789
cupy-2,250413
pyhpc-isoneural-3,250590
onnx-roberta-2,251560
torch_rnn-4,252997
pyhpc-eos-2,255161
pyhpc-isoneural-1,255426
pyhpc-eos-2,256867
cupy-1,257042
onnx-roberta-0,258415
