func_name,invoke_time_ms
pyhpc-eos-2,1779
pyhpc-eos-3,1866
pyhpc-eos-4,2305
cupy-0,3401
pyhpc-eos-0,3931
pyhpc-isoneural-3,4619
cupy-1,4768
torch_rnn-4,5117
pyhpc-isoneural-1,6420
squeezenet-2,7121
squeezenet-4,7760
onnx-roberta-2,8779
onnx-roberta-3,9447
onnx-roberta-4,10186
onnx-roberta-2,10587
onnx-roberta-0,12468
pyhpc-eos-4,14575
onnx-roberta-1,14690
cupy-4,14719
onnx-roberta-0,16604
cupy-2,17830
squeezenet-0,19086
torch_rnn-3,19996
onnx-roberta-4,21058
pyhpc-eos-1,21391
torch_rnn-0,21458
pyhpc-eos-4,21500
pyhpc-isoneural-0,22189
onnx-roberta-3,22976
squeezenet-0,23744
torch_rnn-2,24460
onnx-roberta-2,24790
onnx-roberta-1,26762
pyhpc-eos-0,26855
pyhpc-isoneural-1,26917
pyhpc-eos-3,27045
onnx-roberta-4,29163
squeezenet-2,29741
onnx-roberta-3,31989
cupy-0,35519
squeezenet-4,36583
pyhpc-eos-2,36895
squeezenet-0,37700
onnx-roberta-1,38236
onnx-roberta-0,38953
onnx-roberta-0,39169
pyhpc-eos-2,39791
squeezenet-1,40460
onnx-roberta-4,40709
onnx-roberta-2,40861
onnx-roberta-0,41264
pyhpc-eos-1,42059
pyhpc-eos-1,43233
squeezenet-0,45419
onnx-roberta-1,46748
cupy-1,48748
squeezenet-1,49022
squeezenet-2,49575
pyhpc-eos-3,52029
squeezenet-4,52048
squeezenet-1,52318
pyhpc-eos-3,55007
pyhpc-isoneural-1,55207
pyhpc-eos-3,55889
pyhpc-eos-2,56174
pyhpc-isoneural-2,56736
torch_rnn-4,58773
onnx-roberta-4,58950
torch_rnn-1,58978
pyhpc-eos-4,60662
onnx-roberta-1,62214
pyhpc-eos-4,62264
squeezenet-4,65164
pyhpc-isoneural-4,66439
squeezenet-2,66791
cupy-1,67645
pyhpc-eos-2,68745
squeezenet-2,69134
squeezenet-1,69305
pyhpc-eos-1,69695
torch_rnn-0,69895
onnx-roberta-4,70484
onnx-roberta-0,70493
pyhpc-eos-1,70635
onnx-roberta-3,70648
pyhpc-eos-1,70853
pyhpc-eos-2,71566
onnx-roberta-4,72589
cupy-4,72643
pyhpc-eos-0,73512
squeezenet-0,73869
squeezenet-2,76543
squeezenet-1,76677
torch_rnn-0,76885
pyhpc-eos-4,77465
torch_rnn-2,77819
squeezenet-1,78035
pyhpc-isoneural-0,79412
pyhpc-eos-1,81975
torch_rnn-2,82034
cupy-2,83036
onnx-roberta-3,83294
squeezenet-2,83612
onnx-roberta-0,83685
onnx-roberta-4,84043
squeezenet-1,84133
onnx-roberta-2,84260
onnx-roberta-3,84272
cupy-4,84548
pyhpc-eos-3,87080
onnx-roberta-0,87228
torch_rnn-4,87518
cupy-2,88174
squeezenet-0,88614
onnx-roberta-1,89065
cupy-4,91328
onnx-roberta-3,91570
pyhpc-isoneural-3,91699
pyhpc-eos-0,91801
cupy-0,91984
cupy-4,92351
onnx-roberta-3,93074
pyhpc-isoneural-4,93669
onnx-roberta-1,94904
pyhpc-eos-3,96239
pyhpc-eos-2,96775
pyhpc-isoneural-2,96796
pyhpc-eos-0,97085
squeezenet-0,97394
pyhpc-eos-4,98031
onnx-roberta-2,98277
onnx-roberta-3,98650
squeezenet-0,98736
squeezenet-2,98907
pyhpc-eos-3,100833
pyhpc-eos-2,101040
squeezenet-0,101763
cupy-1,102386
onnx-roberta-4,102457
onnx-roberta-4,102827
onnx-roberta-3,103212
pyhpc-eos-1,104274
squeezenet-1,104862
pyhpc-eos-1,104925
onnx-roberta-3,105680
pyhpc-eos-1,106522
torch_rnn-0,108130
onnx-roberta-1,108135
onnx-roberta-3,110109
pyhpc-isoneural-0,110166
pyhpc-isoneural-3,111335
squeezenet-2,112244
onnx-roberta-0,112380
pyhpc-isoneural-4,112515
pyhpc-eos-3,112578
pyhpc-isoneural-3,113431
torch_rnn-4,113608
onnx-roberta-1,116798
pyhpc-eos-0,116960
pyhpc-isoneural-2,117215
pyhpc-isoneural-3,117625
squeezenet-4,118226
pyhpc-isoneural-3,118584
squeezenet-4,119388
cupy-2,120931
cupy-4,121068
squeezenet-0,121255
pyhpc-isoneural-0,121451
onnx-roberta-2,121504
cupy-1,121676
onnx-roberta-1,121780
pyhpc-eos-1,123043
cupy-2,124168
torch_rnn-4,124497
onnx-roberta-0,124584
pyhpc-eos-3,124676
torch_rnn-2,125354
onnx-roberta-4,125526
torch_rnn-4,126354
pyhpc-isoneural-2,126632
squeezenet-0,127438
pyhpc-eos-3,127861
onnx-roberta-1,127936
squeezenet-2,129065
squeezenet-2,129070
onnx-roberta-4,130517
pyhpc-eos-2,132432
cupy-1,132688
squeezenet-1,132727
squeezenet-4,132772
cupy-2,133098
squeezenet-0,133478
cupy-4,134765
onnx-roberta-1,136187
pyhpc-isoneural-1,136274
squeezenet-0,137319
pyhpc-eos-4,137839
cupy-4,137879
pyhpc-isoneural-1,138140
cupy-2,138311
pyhpc-eos-4,138574
onnx-roberta-2,139247
pyhpc-isoneural-2,139794
pyhpc-isoneural-1,139977
onnx-roberta-0,140032
onnx-roberta-2,140328
squeezenet-1,140358
pyhpc-isoneural-0,140788
pyhpc-eos-2,140837
pyhpc-eos-3,141830
pyhpc-eos-0,142263
torch_rnn-1,143428
pyhpc-eos-0,143613
pyhpc-isoneural-1,144572
pyhpc-eos-3,144703
pyhpc-eos-3,144719
pyhpc-eos-1,144738
onnx-roberta-3,146246
pyhpc-eos-1,146810
pyhpc-eos-1,146982
onnx-roberta-3,147219
pyhpc-isoneural-3,147513
pyhpc-eos-0,147637
cupy-2,148012
squeezenet-2,148084
pyhpc-eos-2,148678
cupy-4,148821
squeezenet-1,148930
onnx-roberta-2,149114
cupy-0,149672
cupy-4,149706
onnx-roberta-0,151706
pyhpc-isoneural-0,153559
squeezenet-2,153732
pyhpc-eos-0,154072
onnx-roberta-4,155001
pyhpc-isoneural-0,155886
torch_rnn-1,156065
pyhpc-isoneural-2,157654
pyhpc-eos-3,159619
cupy-2,160351
pyhpc-eos-4,160492
squeezenet-4,161109
pyhpc-eos-3,161510
squeezenet-2,161900
squeezenet-2,162073
onnx-roberta-4,162188
onnx-roberta-1,162564
cupy-1,163167
torch_rnn-4,163659
onnx-roberta-2,163736
cupy-1,163952
cupy-4,164211
pyhpc-isoneural-3,164558
squeezenet-2,164873
onnx-roberta-3,165029
onnx-roberta-4,167216
squeezenet-0,167579
pyhpc-eos-4,168067
pyhpc-eos-0,168140
pyhpc-eos-1,168648
onnx-roberta-0,169337
cupy-0,169435
onnx-roberta-3,169646
pyhpc-eos-3,169775
squeezenet-2,170167
squeezenet-1,170723
torch_rnn-1,170942
cupy-2,171052
squeezenet-4,171586
pyhpc-isoneural-2,171928
pyhpc-isoneural-1,173946
cupy-4,174802
squeezenet-0,174934
pyhpc-eos-1,175100
torch_rnn-0,179042
pyhpc-eos-0,180694
cupy-1,181080
pyhpc-eos-0,181899
squeezenet-2,182245
cupy-4,182431
pyhpc-eos-4,183187
cupy-4,183340
pyhpc-isoneural-0,183823
cupy-2,184169
torch_rnn-4,185229
cupy-0,185423
pyhpc-isoneural-1,187647
pyhpc-eos-2,188054
cupy-1,188459
pyhpc-eos-1,189740
onnx-roberta-2,190556
onnx-roberta-1,191769
onnx-roberta-4,192018
