func_name,invoke_time_ms
onnx-roberta-3,0
pyhpc-eos-2,1779
pyhpc-eos-3,1866
pyhpc-eos-4,2305
cupy-0,3401
pyhpc-eos-0,3931
pyhpc-isoneural-3,4619
cupy-1,4768
torch_rnn-4,5117
squeezenet-1,5494
pyhpc-isoneural-1,6420
squeezenet-2,7121
squeezenet-4,7760
onnx-roberta-2,8779
onnx-roberta-3,9447
onnx-roberta-4,10186
onnx-roberta-2,10587
onnx-roberta-0,12468
pyhpc-eos-4,14470
pyhpc-eos-4,14575
onnx-roberta-2,14604
onnx-roberta-1,14690
cupy-4,14719
pyhpc-eos-0,15269
onnx-roberta-0,16604
cupy-2,17830
onnx-roberta-3,18260
squeezenet-0,19086
onnx-roberta-2,19684
torch_rnn-3,19996
onnx-roberta-4,21058
onnx-roberta-4,21168
pyhpc-eos-1,21391
torch_rnn-0,21458
pyhpc-eos-4,21500
pyhpc-isoneural-0,22189
pyhpc-eos-3,22591
onnx-roberta-3,22976
pyhpc-eos-3,23094
squeezenet-0,23744
pyhpc-isoneural-1,24454
torch_rnn-2,24460
onnx-roberta-2,24790
squeezenet-4,24954
onnx-roberta-1,26762
pyhpc-eos-0,26855
pyhpc-isoneural-1,26917
pyhpc-eos-3,27045
pyhpc-eos-0,27830
cupy-0,28107
onnx-roberta-0,28629
onnx-roberta-4,29163
squeezenet-2,29741
pyhpc-eos-3,30848
onnx-roberta-3,31989
cupy-4,32063
pyhpc-eos-3,32236
pyhpc-eos-2,33108
pyhpc-eos-3,33564
pyhpc-eos-1,33760
cupy-0,35519
torch_rnn-2,36147
squeezenet-0,36457
squeezenet-4,36583
pyhpc-eos-4,36639
onnx-roberta-1,36795
pyhpc-eos-2,36895
pyhpc-eos-3,37386
squeezenet-0,37700
onnx-roberta-4,38206
onnx-roberta-1,38236
onnx-roberta-0,38953
onnx-roberta-0,39169
pyhpc-eos-2,39791
squeezenet-1,40460
onnx-roberta-4,40709
onnx-roberta-2,40861
onnx-roberta-0,41264
pyhpc-eos-1,42059
pyhpc-eos-1,43233
squeezenet-0,45419
onnx-roberta-0,45783
onnx-roberta-1,46748
squeezenet-1,47116
onnx-roberta-4,47917
cupy-1,48748
squeezenet-1,49022
pyhpc-eos-0,49044
squeezenet-2,49575
pyhpc-eos-1,50490
pyhpc-eos-1,50509
pyhpc-eos-3,52029
squeezenet-4,52048
squeezenet-1,52318
torch_rnn-4,52440
squeezenet-2,52476
pyhpc-eos-4,52507
pyhpc-eos-4,52710
onnx-roberta-2,53627
pyhpc-eos-1,54454
pyhpc-eos-3,55007
pyhpc-isoneural-1,55207
pyhpc-eos-2,55486
pyhpc-eos-3,55889
cupy-1,56081
pyhpc-eos-2,56174
pyhpc-isoneural-2,56736
torch_rnn-4,58773
onnx-roberta-4,58950
torch_rnn-1,58978
cupy-4,59655
pyhpc-eos-4,60662
squeezenet-4,61122
cupy-1,61156
squeezenet-2,62191
onnx-roberta-1,62214
pyhpc-eos-4,62264
pyhpc-eos-2,62479
onnx-roberta-1,62780
torch_rnn-4,63163
torch_rnn-0,64162
squeezenet-4,65164
squeezenet-2,66178
pyhpc-isoneural-4,66439
squeezenet-2,66791
cupy-1,67645
pyhpc-eos-0,68314
cupy-1,68711
pyhpc-eos-2,68745
torch_rnn-2,68937
squeezenet-2,69134
squeezenet-1,69305
pyhpc-eos-1,69695
torch_rnn-0,69895
cupy-1,70454
onnx-roberta-4,70484
onnx-roberta-0,70493
pyhpc-eos-1,70635
onnx-roberta-3,70648
pyhpc-eos-1,70853
pyhpc-eos-2,71566
squeezenet-1,72503
pyhpc-isoneural-2,72506
onnx-roberta-4,72589
cupy-4,72643
pyhpc-isoneural-3,72917
pyhpc-isoneural-0,73155
pyhpc-eos-0,73512
squeezenet-0,73869
squeezenet-2,76543
cupy-4,76578
squeezenet-1,76677
torch_rnn-0,76885
onnx-roberta-3,77015
cupy-4,77402
pyhpc-eos-4,77465
squeezenet-0,77667
torch_rnn-2,77819
squeezenet-1,78035
pyhpc-isoneural-0,79412
cupy-4,80989
cupy-4,81498
cupy-2,81654
pyhpc-eos-1,81975
torch_rnn-4,81984
torch_rnn-2,82034
cupy-2,83036
onnx-roberta-3,83294
squeezenet-2,83612
onnx-roberta-0,83685
onnx-roberta-4,84043
squeezenet-1,84133
onnx-roberta-2,84260
onnx-roberta-3,84272
cupy-4,84548
torch_rnn-4,85367
pyhpc-eos-3,87080
onnx-roberta-0,87228
torch_rnn-4,87518
pyhpc-eos-3,87732
cupy-2,88174
squeezenet-0,88614
onnx-roberta-1,89065
pyhpc-isoneural-1,89167
pyhpc-isoneural-2,91004
cupy-4,91328
onnx-roberta-3,91570
pyhpc-isoneural-3,91699
pyhpc-eos-0,91801
cupy-0,91984
cupy-4,92351
pyhpc-eos-1,93032
onnx-roberta-3,93074
cupy-2,93245
pyhpc-isoneural-4,93669
pyhpc-isoneural-3,94379
squeezenet-4,94474
onnx-roberta-1,94904
cupy-2,95733
torch_rnn-0,96105
pyhpc-eos-3,96239
pyhpc-isoneural-3,96666
pyhpc-eos-2,96775
pyhpc-isoneural-2,96796
pyhpc-eos-0,97085
squeezenet-0,97394
pyhpc-eos-4,98031
onnx-roberta-2,98277
onnx-roberta-3,98650
squeezenet-0,98736
squeezenet-2,98907
pyhpc-eos-4,100394
pyhpc-eos-3,100833
pyhpc-eos-2,101040
squeezenet-0,101763
onnx-roberta-2,102237
cupy-1,102386
onnx-roberta-4,102457
onnx-roberta-4,102827
pyhpc-isoneural-1,102996
onnx-roberta-3,103212
pyhpc-eos-1,104274
pyhpc-isoneural-3,104858
squeezenet-1,104862
pyhpc-eos-1,104925
pyhpc-eos-1,105309
pyhpc-isoneural-3,105553
onnx-roberta-3,105680
pyhpc-eos-1,106522
torch_rnn-0,108130
onnx-roberta-1,108135
pyhpc-eos-3,109598
onnx-roberta-3,110109
pyhpc-isoneural-0,110166
pyhpc-isoneural-3,111335
squeezenet-2,112244
onnx-roberta-0,112380
pyhpc-isoneural-4,112515
pyhpc-eos-3,112578
pyhpc-isoneural-0,112711
pyhpc-isoneural-3,113431
torch_rnn-4,113608
pyhpc-isoneural-1,114065
cupy-1,115328
cupy-2,116166
onnx-roberta-1,116798
pyhpc-eos-0,116960
pyhpc-isoneural-2,117215
pyhpc-isoneural-3,117625
squeezenet-4,118226
pyhpc-isoneural-3,118584
squeezenet-4,119388
pyhpc-eos-2,120747
cupy-2,120931
cupy-4,121068
squeezenet-0,121255
pyhpc-isoneural-0,121451
onnx-roberta-2,121504
cupy-1,121676
onnx-roberta-1,121780
torch_rnn-1,122289
pyhpc-eos-1,123043
cupy-2,124168
torch_rnn-4,124497
onnx-roberta-0,124584
pyhpc-eos-3,124676
pyhpc-eos-0,124796
torch_rnn-2,125354
onnx-roberta-4,125526
torch_rnn-4,126354
pyhpc-isoneural-2,126632
cupy-4,127179
squeezenet-0,127438
cupy-0,127480
pyhpc-eos-3,127861
onnx-roberta-1,127936
squeezenet-2,129065
squeezenet-2,129070
onnx-roberta-4,130517
pyhpc-isoneural-0,131966
pyhpc-eos-2,132432
cupy-1,132688
squeezenet-1,132727
squeezenet-4,132772
cupy-2,133098
squeezenet-0,133478
torch_rnn-0,134281
cupy-4,134765
onnx-roberta-1,136187
pyhpc-isoneural-1,136274
squeezenet-0,137319
pyhpc-eos-4,137839
cupy-4,137879
pyhpc-isoneural-1,138140
cupy-4,138162
cupy-2,138311
pyhpc-eos-4,138574
torch_rnn-4,138998
onnx-roberta-2,139247
pyhpc-isoneural-2,139794
cupy-0,139856
pyhpc-isoneural-3,139977
pyhpc-isoneural-1,139977
onnx-roberta-0,140032
cupy-2,140297
onnx-roberta-2,140328
squeezenet-1,140358
pyhpc-isoneural-0,140788
pyhpc-eos-2,140837
pyhpc-eos-2,140980
pyhpc-eos-3,141830
pyhpc-eos-0,142263
torch_rnn-1,143428
pyhpc-eos-0,143613
pyhpc-isoneural-1,144572
pyhpc-eos-3,144703
pyhpc-eos-3,144719
pyhpc-eos-1,144738
onnx-roberta-3,146246
onnx-roberta-3,146401
pyhpc-eos-1,146810
pyhpc-eos-1,146982
pyhpc-eos-0,147206
onnx-roberta-3,147219
pyhpc-isoneural-3,147513
pyhpc-eos-0,147637
cupy-2,148012
squeezenet-2,148084
pyhpc-eos-2,148678
cupy-4,148821
squeezenet-1,148930
onnx-roberta-2,149114
cupy-0,149343
cupy-0,149672
cupy-4,149706
onnx-roberta-0,151706
pyhpc-eos-4,152790
pyhpc-isoneural-0,153559
squeezenet-2,153732
pyhpc-eos-0,154072
onnx-roberta-4,155001
pyhpc-isoneural-0,155886
torch_rnn-1,156065
torch_rnn-3,157126
pyhpc-isoneural-2,157654
pyhpc-isoneural-1,158317
pyhpc-eos-3,159619
cupy-2,160351
pyhpc-eos-4,160492
squeezenet-4,161109
pyhpc-eos-3,161510
squeezenet-2,161900
squeezenet-2,162073
onnx-roberta-4,162188
onnx-roberta-1,162564
cupy-1,163167
torch_rnn-1,163408
torch_rnn-4,163659
onnx-roberta-2,163736
cupy-1,163952
cupy-4,164211
onnx-roberta-3,164331
pyhpc-isoneural-3,164558
squeezenet-2,164873
onnx-roberta-3,165029
onnx-roberta-4,167216
squeezenet-0,167579
pyhpc-eos-4,168067
pyhpc-eos-0,168140
pyhpc-eos-1,168648
onnx-roberta-0,169337
cupy-0,169435
onnx-roberta-3,169646
pyhpc-eos-3,169775
squeezenet-2,170167
cupy-2,170297
squeezenet-1,170723
torch_rnn-1,170942
cupy-2,171052
squeezenet-4,171586
pyhpc-isoneural-2,171928
pyhpc-isoneural-1,173946
squeezenet-0,174045
cupy-4,174802
squeezenet-0,174934
pyhpc-eos-1,175100
torch_rnn-0,179042
pyhpc-eos-0,180694
cupy-1,181080
pyhpc-eos-0,181899
squeezenet-2,182245
cupy-4,182431
pyhpc-eos-4,183187
pyhpc-isoneural-3,183198
cupy-4,183340
pyhpc-isoneural-0,183823
cupy-2,184169
torch_rnn-4,185229
cupy-0,185423
pyhpc-isoneural-1,187647
pyhpc-eos-2,188054
cupy-1,188459
pyhpc-eos-1,189740
onnx-roberta-2,190556
torch_rnn-4,191153
onnx-roberta-2,191737
onnx-roberta-1,191769
onnx-roberta-4,192018
pyhpc-eos-0,192087
cupy-4,193807
cupy-4,193939
pyhpc-isoneural-0,194285
squeezenet-2,194294
torch_rnn-3,194305
pyhpc-eos-4,194608
pyhpc-eos-3,195012
pyhpc-isoneural-4,196355
onnx-roberta-1,196565
pyhpc-isoneural-1,196802
cupy-0,197289
pyhpc-eos-4,197469
onnx-roberta-3,197608
onnx-roberta-1,198348
pyhpc-isoneural-2,198357
pyhpc-isoneural-1,198454
torch_rnn-4,198803
onnx-roberta-2,198957
pyhpc-isoneural-1,199539
cupy-4,199547
pyhpc-eos-3,199655
squeezenet-1,199775
cupy-0,200189
pyhpc-eos-2,201499
squeezenet-0,201697
torch_rnn-4,203741
onnx-roberta-2,203959
pyhpc-eos-1,204941
torch_rnn-0,205202
pyhpc-isoneural-0,205432
pyhpc-eos-0,205757
pyhpc-eos-0,205987
onnx-roberta-0,206073
onnx-roberta-0,206557
cupy-0,206753
pyhpc-eos-4,206846
pyhpc-isoneural-3,206987
squeezenet-2,207422
onnx-roberta-0,207612
pyhpc-isoneural-0,207914
cupy-2,208220
torch_rnn-2,208368
pyhpc-eos-0,208649
onnx-roberta-2,208699
cupy-0,208954
onnx-roberta-2,209471
cupy-0,209712
squeezenet-2,209967
squeezenet-4,210614
onnx-roberta-1,210857
squeezenet-2,211025
torch_rnn-3,211334
onnx-roberta-0,212753
squeezenet-0,213021
squeezenet-0,213809
onnx-roberta-4,214090
squeezenet-1,214154
pyhpc-eos-0,214244
torch_rnn-4,217076
pyhpc-isoneural-0,217841
onnx-roberta-3,218049
onnx-roberta-4,219073
squeezenet-0,219807
pyhpc-isoneural-0,219860
pyhpc-isoneural-1,220104
squeezenet-2,220143
cupy-4,220674
pyhpc-isoneural-0,220912
pyhpc-isoneural-1,220965
pyhpc-isoneural-3,221138
onnx-roberta-1,221187
squeezenet-0,221192
onnx-roberta-3,221634
onnx-roberta-2,222167
pyhpc-eos-3,222191
torch_rnn-1,222202
cupy-4,222402
squeezenet-0,222583
onnx-roberta-3,223375
squeezenet-1,223754
onnx-roberta-0,224229
squeezenet-1,224852
squeezenet-0,224873
cupy-2,225295
onnx-roberta-3,225412
squeezenet-0,225556
torch_rnn-4,225631
squeezenet-0,226006
pyhpc-eos-1,226133
squeezenet-0,226888
onnx-roberta-4,227095
torch_rnn-4,227150
pyhpc-eos-3,228125
cupy-0,230136
cupy-2,230261
pyhpc-eos-4,230673
squeezenet-2,230824
squeezenet-2,230993
squeezenet-4,231597
onnx-roberta-4,232441
squeezenet-0,233182
squeezenet-1,233651
pyhpc-eos-0,233993
onnx-roberta-4,234392
onnx-roberta-1,234512
cupy-0,234663
pyhpc-isoneural-0,235080
torch_rnn-0,235493
squeezenet-0,235522
pyhpc-eos-2,235822
pyhpc-isoneural-3,236563
torch_rnn-0,237360
onnx-roberta-4,237588
pyhpc-isoneural-1,237835
pyhpc-eos-4,238989
pyhpc-isoneural-3,239249
torch_rnn-3,239365
torch_rnn-0,239416
onnx-roberta-3,239664
torch_rnn-3,239923
squeezenet-4,240266
