func_name,invoke_time_ms
rodinia-myocyte-2,2487
rodinia-needle-4,2835
rodinia-lud-3,7911
rodinia-srad-0,13300
rodinia-pathfinder-0,13835
rodinia-lud-4,14218
rodinia-lud-3,22082
rodinia-lavamd-4,22366
rodinia-lavamd-3,22632
rodinia-lud-3,23917
rodinia-lud-0,24997
rodinia-lud-1,26756
rodinia-needle-2,27259
rodinia-needle-4,28274
rodinia-lud-0,28398
rodinia-lud-0,29793
rodinia-lud-0,33446
rodinia-needle-2,33646
rodinia-lavamd-1,33983
rodinia-myocyte-4,34460
rodinia-needle-4,36786
rodinia-srad-0,37167
rodinia-lud-0,37519
rodinia-lud-0,38390
rodinia-lud-1,39156
rodinia-lud-1,41812
rodinia-srad-4,42286
rodinia-needle-2,46717
rodinia-lavamd-4,47628
rodinia-myocyte-4,48008
rodinia-lavamd-4,49874
rodinia-srad-2,50912
rodinia-lavamd-3,52892
rodinia-srad-0,54000
rodinia-lavamd-1,54008
rodinia-pathfinder-0,55638
rodinia-lud-0,56652
rodinia-lud-0,56980
rodinia-lavamd-1,57198
rodinia-srad-2,59718
rodinia-lud-3,59864
rodinia-lavamd-4,64225
rodinia-lud-2,66649
rodinia-lud-4,67449
rodinia-srad-1,67591
rodinia-lud-3,69049
rodinia-needle-4,69696
rodinia-needle-4,70349
rodinia-lud-3,70355
rodinia-myocyte-4,70368
rodinia-needle-2,72356
rodinia-lud-3,74939
rodinia-srad-1,75306
rodinia-pathfinder-0,76233
rodinia-needle-3,76917
rodinia-srad-4,79978
rodinia-myocyte-2,81872
rodinia-lud-3,83065
rodinia-lud-4,87893
rodinia-srad-1,89560
rodinia-lud-4,89570
rodinia-pathfinder-4,93580
rodinia-lud-2,95377
rodinia-needle-2,96149
rodinia-lavamd-4,101893
rodinia-srad-0,102163
rodinia-needle-3,102586
rodinia-needle-3,105655
rodinia-pathfinder-4,108043
rodinia-lavamd-3,109878
rodinia-srad-1,109910
rodinia-lud-0,109956
rodinia-needle-2,111061
rodinia-pathfinder-1,111595
rodinia-srad-3,112883
rodinia-needle-2,112989
