func_name,invoke_time_ms
rodinia-myocyte-4,1957
rodinia-needle-4,2270
rodinia-needle-4,2656
rodinia-lud-3,3189
rodinia-needle-2,4229
rodinia-srad-1,4848
rodinia-needle-3,6682
rodinia-srad-2,7714
rodinia-needle-3,10499
rodinia-needle-2,11204
rodinia-srad-0,11715
rodinia-lud-1,14538
rodinia-srad-1,16099
rodinia-myocyte-2,16956
rodinia-lud-3,17367
rodinia-srad-4,18424
rodinia-lavamd-4,18813
rodinia-lud-1,18835
rodinia-myocyte-2,19196
rodinia-needle-2,21132
rodinia-lavamd-4,22695
rodinia-pathfinder-3,23302
rodinia-lavamd-4,23485
rodinia-srad-1,24000
rodinia-lavamd-1,26879
rodinia-myocyte-4,27545
rodinia-myocyte-2,28046
rodinia-srad-1,29040
rodinia-lud-4,30199
rodinia-needle-4,31067
rodinia-lud-2,32518
rodinia-srad-1,34015
rodinia-srad-1,36195
rodinia-needle-4,37074
rodinia-srad-0,37125
rodinia-myocyte-2,38889
rodinia-lavamd-1,42936
rodinia-lud-4,45554
rodinia-needle-2,46015
rodinia-lud-0,46349
rodinia-srad-0,46776
rodinia-lud-3,46788
rodinia-needle-3,47631
rodinia-myocyte-2,47675
rodinia-srad-1,48459
rodinia-srad-0,50555
rodinia-myocyte-2,51982
rodinia-lud-4,52622
rodinia-lud-3,54264
rodinia-lud-3,54846
rodinia-srad-4,57237
rodinia-needle-4,58492
rodinia-pathfinder-4,59875
rodinia-needle-3,60236
rodinia-lud-0,60719
rodinia-needle-3,60947
rodinia-needle-4,62104
rodinia-lud-0,62188
rodinia-myocyte-2,62723
rodinia-needle-4,63145
rodinia-lud-3,63760
rodinia-lud-0,64961
rodinia-myocyte-4,65160
rodinia-lavamd-0,65565
rodinia-myocyte-0,65583
rodinia-pathfinder-4,66646
rodinia-needle-2,68841
rodinia-needle-2,70309
rodinia-pathfinder-4,70487
rodinia-needle-4,70524
rodinia-lavamd-2,70714
rodinia-pathfinder-4,71034
rodinia-srad-1,72360
rodinia-needle-2,73003
rodinia-srad-0,73009
rodinia-lud-4,73058
rodinia-pathfinder-4,73099
rodinia-pathfinder-4,74123
rodinia-lavamd-0,74192
rodinia-lavamd-2,77303
rodinia-srad-1,77418
rodinia-needle-3,79096
rodinia-lud-3,79461
rodinia-pathfinder-4,81934
rodinia-needle-3,84819
rodinia-lud-4,86292
rodinia-needle-3,87934
rodinia-pathfinder-4,89395
rodinia-myocyte-4,89644
rodinia-srad-0,90577
rodinia-lud-0,92946
rodinia-needle-2,94349
rodinia-pathfinder-4,98751
rodinia-srad-1,99955
rodinia-lud-0,100772
rodinia-srad-1,102598
rodinia-lud-0,102769
rodinia-lud-0,102930
rodinia-srad-2,106433
rodinia-lud-3,107208
rodinia-lud-4,108279
rodinia-lavamd-4,109485
rodinia-lud-0,109884
rodinia-myocyte-2,110297
rodinia-myocyte-2,113633
rodinia-pathfinder-3,114323
rodinia-lud-0,114396
rodinia-lud-1,115690
rodinia-lavamd-1,117929
rodinia-needle-3,118108
rodinia-lud-0,118335
rodinia-lud-1,120654
rodinia-lud-3,122901
rodinia-pathfinder-3,123032
rodinia-myocyte-4,123859
rodinia-lud-3,128369
rodinia-lud-3,130328
rodinia-needle-2,130406
rodinia-myocyte-2,131308
rodinia-lud-3,131516
rodinia-pathfinder-4,131697
rodinia-lavamd-3,131753
rodinia-lavamd-4,131875
rodinia-needle-3,132321
rodinia-srad-4,134002
rodinia-pathfinder-4,134407
rodinia-lud-1,136831
rodinia-lud-4,137931
rodinia-needle-2,140427
rodinia-needle-2,140803
rodinia-srad-0,140974
rodinia-lud-1,141200
rodinia-lud-4,141682
rodinia-lavamd-3,144818
rodinia-needle-3,145645
rodinia-lavamd-1,146259
rodinia-lud-3,146286
rodinia-lavamd-3,146485
rodinia-lavamd-2,146812
rodinia-lud-2,147198
rodinia-lavamd-1,148056
rodinia-srad-0,150582
rodinia-lud-4,151390
rodinia-lud-3,151849
rodinia-lud-0,155693
rodinia-lavamd-4,156210
rodinia-lud-0,160159
rodinia-needle-3,162529
rodinia-lud-0,163632
rodinia-lud-4,165038
rodinia-needle-2,166459
rodinia-myocyte-2,166863
rodinia-pathfinder-4,167539
rodinia-lud-4,168772
rodinia-lud-4,169000
rodinia-myocyte-1,170401
rodinia-lud-3,171141
rodinia-pathfinder-3,172744
rodinia-needle-2,173432
rodinia-srad-0,173676
rodinia-myocyte-2,175506
rodinia-needle-3,176130
rodinia-myocyte-2,177513
rodinia-lud-3,180370
rodinia-srad-3,180774
rodinia-myocyte-4,183956
rodinia-lud-1,184154
rodinia-myocyte-4,185185
rodinia-lud-0,185503
rodinia-lud-1,185803
rodinia-lud-1,186316
rodinia-srad-0,186388
rodinia-lavamd-4,188412
rodinia-srad-2,190952
rodinia-lud-0,191200
rodinia-lud-4,191276
rodinia-pathfinder-4,191328
rodinia-myocyte-4,191381
rodinia-needle-2,192734
rodinia-srad-4,193236
rodinia-needle-4,193563
rodinia-srad-1,194481
rodinia-lavamd-1,194739
rodinia-needle-2,194846
rodinia-srad-4,195022
rodinia-pathfinder-4,195624
rodinia-myocyte-2,197078
rodinia-needle-2,197512
rodinia-srad-0,198206
rodinia-srad-4,199306
rodinia-lavamd-4,199367
rodinia-needle-2,201244
rodinia-lud-3,201560
rodinia-srad-0,202271
rodinia-needle-3,202678
rodinia-pathfinder-2,202813
rodinia-pathfinder-4,204419
rodinia-myocyte-3,206638
rodinia-needle-3,208246
rodinia-lud-4,208748
rodinia-lud-0,209252
rodinia-lud-4,210075
rodinia-lud-0,211716
rodinia-needle-3,214425
rodinia-lavamd-1,215410
rodinia-myocyte-2,216613
rodinia-srad-4,216668
rodinia-lud-0,217790
rodinia-myocyte-1,219008
rodinia-needle-2,220439
rodinia-pathfinder-4,224155
rodinia-myocyte-2,226546
rodinia-pathfinder-0,227664
rodinia-pathfinder-3,228020
rodinia-myocyte-2,228440
rodinia-pathfinder-4,230508
rodinia-lavamd-4,230917
rodinia-lavamd-2,231343
rodinia-lavamd-3,231994
rodinia-lavamd-2,233833
rodinia-lud-3,234611
rodinia-needle-3,236820
rodinia-srad-0,238647
rodinia-needle-4,239500
rodinia-lud-0,242072
rodinia-pathfinder-3,242163
rodinia-srad-1,242564
rodinia-lud-4,242752
rodinia-needle-2,246995
rodinia-needle-4,247064
rodinia-lud-3,247281
rodinia-lud-4,247568
rodinia-lavamd-4,252223
rodinia-lavamd-1,253735
rodinia-needle-2,255258
rodinia-pathfinder-3,255462
rodinia-lud-1,255573
rodinia-needle-3,255852
rodinia-needle-2,256040
rodinia-myocyte-2,256092
rodinia-lud-4,258925
rodinia-needle-4,260259
rodinia-lud-3,261921
rodinia-srad-1,262720
rodinia-lud-1,262786
rodinia-lud-1,263333
rodinia-lud-0,263915
rodinia-lud-0,264316
rodinia-myocyte-4,264640
rodinia-needle-2,265098
rodinia-needle-2,268032
rodinia-lud-0,270601
rodinia-needle-4,270734
rodinia-srad-2,270848
rodinia-needle-4,271917
rodinia-lavamd-4,272965
rodinia-lavamd-1,273858
rodinia-srad-1,275258
rodinia-needle-4,277292
rodinia-lud-4,278261
rodinia-needle-2,278982
rodinia-needle-2,279463
rodinia-srad-4,279836
rodinia-needle-2,280838
rodinia-myocyte-2,281304
rodinia-srad-4,281402
rodinia-needle-2,282392
rodinia-pathfinder-0,283201
rodinia-needle-2,284134
rodinia-pathfinder-3,284727
rodinia-myocyte-3,284764
rodinia-myocyte-4,285053
rodinia-lud-0,285089
rodinia-myocyte-4,285973
rodinia-needle-3,288699
rodinia-needle-4,289119
rodinia-lud-0,289632
rodinia-needle-2,289700
rodinia-needle-4,289858
rodinia-lavamd-4,289927
rodinia-pathfinder-3,291006
rodinia-pathfinder-4,291424
rodinia-lud-3,293387
rodinia-needle-2,294264
rodinia-pathfinder-1,294533
rodinia-lud-1,294543
rodinia-myocyte-4,297595
