success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,rodinia-myocyte-4,true,526979,0.40192699432373047,1835625,9a27ab4375f8e7b86102c77f4337aca6
true,rodinia-needle-4,true,1664541,1.658562183380127,1666056,65c4ca2db833a965e59c46cea0068dbb
true,rodinia-needle-4,true,2334579,2.326356887817383,2335693,e95ebe12441df631d06ec4f0f3592d95
true,rodinia-lud-3,true,1647749,1.6370298862457275,1653075,cdd9ead73d1f4f01c3cd26b6bbaface7
true,rodinia-needle-2,true,3439348,3.429563045501709,3440455,98c4459d42a7ab7715f2db7e648b712f
true,rodinia-srad-1,true,2114708,2.10695743560791,2115683,2eae445d80f4de8861b93ecf1b0d499b
true,rodinia-needle-3,true,1913971,1.9070959091186523,1915047,846f596a8ccc872194daf64d8c5b5df7
true,rodinia-srad-2,true,1856205,1.8489720821380615,1857818,c7046fead95e1e282d69c99040ee5e72
true,rodinia-needle-3,false,101534,0.0974574089050293,103000,871c07486a3f734ce7029b9e983495de
true,rodinia-needle-2,true,1479138,1.3418898582458496,2785132,c08dae47c45721773b5f8a7aa1da7bac
true,rodinia-srad-0,true,1964937,1.823026418685913,3171993,ee83e62b7b303f65b45a0d5c2cfd9e12
true,rodinia-lud-1,true,369195,0.3616499900817871,370305,5cb37b4be72855960c810a80f5d7ec93
true,rodinia-srad-1,true,2078175,1.96024227142334,3244966,a0489d48da864169125f60710261a894
true,rodinia-myocyte-2,true,264705,0.2505345344543457,271001,89168ed8329f84796ec932cec6ddcf2a
true,rodinia-lud-3,false,382539,0.3786542415618897,383723,8cbcab60d824b4273c8ed732a84a62be
true,rodinia-srad-4,true,1744239,1.7369451522827148,1745670,718983669d8c1597f4b28c7c1ad73df6
true,rodinia-lavamd-4,true,341099,0.3325979709625244,342512,4e927e35f0909fa7c7198d5675e2f43e
true,rodinia-lud-1,false,1463142,1.4600589275360107,1464119,4c4c8044c9e90cee8443959458c1174b
true,rodinia-myocyte-2,true,2952919,2.9417521953582764,2954759,ffcc76ffb2e1a171f8175fa070cc6451
true,rodinia-needle-2,false,1409672,1.3986175060272217,1411167,c9b9c96f486e33890ed68d130f9503c4
true,rodinia-lavamd-4,false,160438,0.15583109855651855,161493,4683257684dfb0e05073870adbde337b
true,rodinia-pathfinder-3,true,85633,0.07681393623352051,86618,61de1b4ba338eee844b02665c8b83382
true,rodinia-lavamd-4,true,641724,0.5510575771331787,1891014,d193be8859e572c25634e9725ccaad0d
true,rodinia-srad-1,false,178576,0.17436575889587402,179680,d8fcabc419947ac4c198338f8603f878
