func_name,invoke_time_ms
rodinia-pathfinder-0,634
rodinia-lavamd-3,1151
rodinia-needle-4,1688
rodinia-lavamd-2,1808
rodinia-myocyte-2,2890
rodinia-pathfinder-4,4180
rodinia-srad-1,4571
rodinia-lud-0,5269
rodinia-srad-0,5620
rodinia-srad-1,5826
rodinia-lud-4,6261
rodinia-lavamd-3,6331
rodinia-srad-1,6853
rodinia-srad-0,7913
rodinia-lavamd-2,8463
rodinia-lud-3,8614
rodinia-lavamd-4,8899
rodinia-myocyte-4,9085
rodinia-lud-1,11047
rodinia-myocyte-2,11345
rodinia-lud-3,12256
rodinia-lavamd-4,12347
rodinia-needle-2,12356
rodinia-srad-0,12680
rodinia-pathfinder-4,13470
rodinia-myocyte-3,17078
rodinia-needle-2,17580
rodinia-myocyte-2,18858
rodinia-srad-1,18953
rodinia-pathfinder-4,19001
rodinia-lavamd-1,19404
rodinia-lavamd-3,20824
rodinia-needle-2,22279
rodinia-lud-3,23395
rodinia-lavamd-2,23978
rodinia-srad-4,25501
rodinia-lavamd-3,25819
rodinia-pathfinder-3,26089
rodinia-lavamd-3,26494
rodinia-needle-4,26804
rodinia-lud-1,27753
rodinia-lavamd-3,28488
rodinia-myocyte-4,29141
rodinia-pathfinder-0,29265
rodinia-needle-4,29636
rodinia-srad-2,30122
rodinia-lavamd-3,32531
rodinia-pathfinder-0,33178
rodinia-lud-4,33266
rodinia-needle-4,35433
rodinia-lud-1,36740
rodinia-needle-4,36885
rodinia-srad-4,38220
rodinia-myocyte-2,39917
rodinia-lud-4,41145
rodinia-myocyte-4,41610
rodinia-lud-2,41840
rodinia-pathfinder-3,43353
rodinia-lud-1,43761
rodinia-lud-1,44338
rodinia-lavamd-1,44658
rodinia-lud-0,44847
rodinia-lud-4,44900
rodinia-myocyte-4,45015
rodinia-needle-4,45262
rodinia-myocyte-4,45683
rodinia-lavamd-4,45847
rodinia-pathfinder-4,46048
rodinia-srad-2,46780
rodinia-lud-0,47244
rodinia-pathfinder-0,47262
rodinia-myocyte-2,48164
rodinia-lud-4,48344
rodinia-myocyte-2,48609
rodinia-lud-2,48711
rodinia-needle-4,48758
rodinia-srad-0,49713
rodinia-myocyte-4,51372
rodinia-srad-0,51543
rodinia-lavamd-1,52514
rodinia-srad-0,53077
rodinia-needle-2,55254
rodinia-lud-3,55512
rodinia-lud-4,55773
rodinia-pathfinder-0,56741
rodinia-srad-0,56851
rodinia-lud-3,57302
rodinia-lud-1,58093
rodinia-needle-2,58232
rodinia-needle-4,58332
rodinia-srad-4,59904
rodinia-needle-3,60459
rodinia-myocyte-2,60860
rodinia-lud-0,61080
rodinia-myocyte-4,61543
rodinia-lavamd-3,62367
rodinia-lud-0,63696
rodinia-lud-3,64054
rodinia-myocyte-2,65104
rodinia-needle-4,66582
rodinia-srad-4,66753
rodinia-lud-1,67225
rodinia-srad-1,68164
rodinia-lud-0,68995
rodinia-lud-4,69363
rodinia-lud-3,69625
rodinia-myocyte-2,70233
rodinia-lud-2,70290
rodinia-myocyte-4,71148
rodinia-lavamd-4,71806
rodinia-needle-2,72210
rodinia-pathfinder-3,72275
rodinia-lavamd-0,73387
rodinia-srad-0,76681
rodinia-srad-2,76726
rodinia-lud-4,77026
rodinia-srad-0,77589
rodinia-needle-4,78097
