success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,rodinia-pathfinder-0,true,527275,0.5180454254150391,529208,4e156f6bef3152f2acf773f36be410da
true,rodinia-lavamd-3,true,754178,0.6147029399871826,1926211,05643d5ef2fc3f8a324e3c51c5ed49a4
true,rodinia-needle-4,true,1417563,1.409353733062744,1419053,b452a27c588a63e1f6c4dc3cda2f407f
true,rodinia-lavamd-2,true,741752,0.6209137439727783,3787947,95375b827b202b89c7e862c75aeddae8
true,rodinia-myocyte-2,true,496374,0.3434457778930664,1982193,5949535f0f371184cc22a540665e2c5b
true,rodinia-pathfinder-4,true,614578,0.46807169914245605,2022144,9007873b9edf2b54afc2b7b5d325d49c
true,rodinia-srad-1,true,2106815,1.9693522453308103,3518153,70becf8aab8e35ce24d3e94c930edb85
true,rodinia-lud-0,true,509148,0.499767541885376,510646,d7a15725cfcf80b6d1af7f5bdf71773f
true,rodinia-srad-0,true,1947995,1.8379778861999512,3527101,dc501f78dfe5eee3d0f396a8d9a54c6e
true,rodinia-srad-1,true,1965401,1.8311188220977783,3686795,62d3309e41ae01fd13e89b3cf560f77e
true,rodinia-lud-4,true,471912,0.46326494216918945,544090,ae423cfdd9e3a46456f1a142ae0d4bd6
true,rodinia-lavamd-3,false,660310,0.6549811363220215,1134113,112fba2c94c10cffed922f4e768b2ed9
true,rodinia-srad-1,true,2018676,1.883345365524292,4198872,2a49a62e2b62eee07fffe07532e06cfa
true,rodinia-srad-0,true,2102607,1.9993317127227783,3950267,2c5ad5a159261b4ca72ad733bc511590
true,rodinia-lavamd-2,false,728573,0.7213389873504639,3432152,93f6c721810c9ec07de8e8e8789a6bbb
true,rodinia-lud-3,true,594570,0.4607408046722412,2551983,f1347d49807883a3ae11290cf29e50c9
true,rodinia-lavamd-4,true,927499,0.792292594909668,2927959,375de0f099f29ee399a9d7e20fdc3b2c
true,rodinia-myocyte-4,true,387306,0.3714008331298828,3171441,1d8deccfc9653539aa053c32a22db3a8
true,rodinia-lud-1,true,638075,0.6303319931030273,643351,1478c4c8f2cf7a216ab548db4a8a1287
true,rodinia-myocyte-2,false,462111,0.4490065574645996,948133,654cad418963441ee2458c709abf2a55
true,rodinia-lud-3,false,476354,0.4707672595977783,477946,d3c19b397714ba21e5e235621fd9266f
true,rodinia-lavamd-4,false,640706,0.6329517364501953,642208,1c2789b44f8aa4ae501dca2b9abde12f
true,rodinia-needle-2,true,1528181,1.4195780754089355,2751397,37485084401dd8b81548e7cfb03ea0ac
true,rodinia-srad-0,false,1928969,1.922372817993164,1983762,fdf8ea72009f5c4e029bec420b5da334
true,rodinia-pathfinder-4,false,462311,0.4573051929473877,464033,052570d9a7c92b7887ed64a705b175bf
true,rodinia-myocyte-3,true,394198,0.2694966793060303,1604900,f8b863efaf382c5ea423e634b22b346b
true,rodinia-needle-2,false,1502037,1.49479079246521,1503622,1f2855c19a86c62b7bd72e053da6bc19
true,rodinia-myocyte-2,false,259972,0.24703145027160645,265100,13f8acf5fe0d6c88b2686b581ba332fe
true,rodinia-srad-1,false,1783352,1.7715795040130615,1914677,6403212171080479eba47f105dc22c59
true,rodinia-pathfinder-4,false,461673,0.4563617706298828,582666,99e33a887ef38affee3fb7e1e843028c
true,rodinia-lavamd-1,true,866684,0.7329764366149902,2198123,5c97c8f29c4dc9685fda147380eece68
true,rodinia-lavamd-3,false,711024,0.7043066024780273,754850,3eed3ba264b2caae999859dd426ed14d
true,rodinia-needle-2,false,1430688,1.423886775970459,1432497,eb9c1ae88c81a3ade8f5adf8e81f68ae
true,rodinia-lud-3,false,509092,0.5037376880645752,511309,232942eec2df1832506f29533ca094dd
true,rodinia-lavamd-2,false,674722,0.6694657802581787,676426,d5c194f02b68f6ad925f3462ff71b115
true,rodinia-srad-4,true,1872137,1.774496078491211,3440421,fa991496d828bf58abe0ec687e735dc7
true,rodinia-lavamd-3,false,686482,0.6815850734710693,688373,75266e6fb286fc599af7537c1efd0aa7
true,rodinia-pathfinder-3,true,525658,0.42027759552001953,1726746,99d5abfaed56504dbf3423bc2d8f8f2f
true,rodinia-lavamd-3,false,679616,0.6711986064910889,693596,1d4399174e9fd77efe3b730daa50f97f
true,rodinia-needle-4,false,1429673,1.4248647689819336,1813243,d0e12c7da796ecb9344596844b4ee59b
true,rodinia-lud-1,false,461445,0.45552706718444824,463280,ef76ff8140c5a71329adb153c88ec233
true,rodinia-lavamd-3,false,703861,0.6967837810516357,705424,68a9c72734f91332ca66c830e8640cc6
true,rodinia-myocyte-4,false,308037,0.295849084854126,315334,d55ec9958078240887e4fb4123349255
true,rodinia-pathfinder-0,false,456684,0.45147180557250977,458601,40d1d6f0be38bca4de98edba050fdc3a
true,rodinia-needle-4,false,1365417,1.3596134185791016,1367229,954be1366a74ada95a0358d4b50f4f65
true,rodinia-srad-2,true,2007668,1.8898208141326904,3257401,05ba8b5ebef8f80bb434faaa2bb2d249
true,rodinia-lavamd-3,false,585671,0.5777907371520996,587027,c71f6d40fdc62444da95a2c55376d246
true,rodinia-pathfinder-0,false,445168,0.43850207328796387,446751,ca3f2d6555d2b80c82d622df2757bbf6
true,rodinia-lud-4,false,465497,0.4588937759399414,579160,a5dd39fb9e88749e86e3fbee979569be
true,rodinia-needle-4,false,1417864,1.4083313941955566,1420183,2821c396939145660acbbf79cd87191c
true,rodinia-lud-1,false,492179,0.48311781883239746,493944,04f0d4d348b1aa7cdbc6018f9978938a
true,rodinia-needle-4,false,1379077,1.3722648620605469,1380781,15158981eb1d6c4d3f3744deb9a86ee5
true,rodinia-srad-4,false,1740775,1.7357933521270752,1742645,82191d7caaa452adedba77ba55899b11
true,rodinia-myocyte-2,false,246098,0.23194217681884768,252906,c89954ac1818608d226c34c3fb572527
true,rodinia-lud-4,false,462122,0.4560780525207519,464248,5be6921dfd7cfd39845b730220e5230a
true,rodinia-myocyte-4,false,267477,0.25984716415405273,273182,a5b80a25dc57eda884e9738dce95b2bf
true,rodinia-lud-2,true,604006,0.5082094669342041,1822878,502c76bdc032634f6dea52e09675c6da
true,rodinia-pathfinder-3,false,705185,0.6999111175537109,706877,2a3b149aceec5c8aa8f5aee11e8f0a93
true,rodinia-lud-1,false,462972,0.45464658737182617,464776,e5781c441dc1ae8798855fb4a7d78c7a
true,rodinia-lud-1,false,440099,0.4322085380554199,441524,11dfd9317d7bcb15cf0423c3f2a41744
true,rodinia-lavamd-1,false,679629,0.6710257530212402,681279,f0a5bcd2ce169fb6bec8063549de65ce
true,rodinia-lud-0,false,460322,0.450960636138916,462004,3f57c66c611343fee8a7b95cd550bde3
true,rodinia-lud-4,false,499066,0.494232177734375,938961,50ad1a4afca65c2fda1ccd58213444ac
true,rodinia-myocyte-4,false,379350,0.3658745288848877,1207606,7f6e33984c7dab06501ec337b9c24479
true,rodinia-needle-4,false,1415610,1.4094109535217283,1462400,484b7c31d8a5f7c94c5850566c512ba7
true,rodinia-myocyte-4,false,273461,0.2591264247894287,1784162,8170861648c36a37da1c6893fbe34338
true,rodinia-lavamd-4,false,608964,0.6034491062164307,984434,d338403625dcba3db2974fd8f0bce05b
true,rodinia-pathfinder-4,false,464844,0.45760321617126465,1141238,edd57bc48d817e2c0d78ea2c30790fa1
true,rodinia-srad-2,false,1816216,1.8104054927825928,1868227,cb7d281268b6a771537f529be2cfe073
true,rodinia-lud-0,false,495766,0.49072265625,497468,dd9212b66a596bcd5bf72165caf9eab2
true,rodinia-pathfinder-0,false,464101,0.45868539810180664,667775,2d02dad7167a8f08a186d366aa45e36a
true,rodinia-myocyte-2,false,286477,0.27420806884765625,290693,240a33a927b237942385bf86c056b074
true,rodinia-lud-4,false,553713,0.5455279350280762,555380,9690ecef19d37dd7df20c4cf65391a0a
true,rodinia-myocyte-2,false,260362,0.24706459045410156,264798,103464f5f446d00e530b15e48ad2039e
