func_name,invoke_time_ms
rodinia-lud-4,571
rodinia-lud-0,1493
rodinia-lud-1,1914
rodinia-srad-0,2796
rodinia-needle-3,5348
rodinia-needle-3,10705
rodinia-pathfinder-3,12317
rodinia-pathfinder-3,13274
rodinia-pathfinder-3,13944
rodinia-lavamd-4,15133
rodinia-srad-1,15835
rodinia-pathfinder-4,16420
rodinia-lud-2,17772
rodinia-srad-0,19196
rodinia-lud-1,19779
rodinia-myocyte-2,19827
rodinia-lavamd-4,20876
rodinia-needle-4,21053
rodinia-needle-2,21806
rodinia-lavamd-4,25228
rodinia-lud-2,25647
rodinia-needle-2,26595
rodinia-lud-2,26977
rodinia-needle-2,28375
rodinia-lud-0,29110
rodinia-needle-3,30431
rodinia-myocyte-2,31192
rodinia-myocyte-2,31968
rodinia-lavamd-2,32176
rodinia-needle-3,32857
rodinia-srad-1,33559
rodinia-lud-3,35959
rodinia-needle-2,36274
rodinia-needle-4,38481
rodinia-pathfinder-4,39811
rodinia-pathfinder-3,39988
rodinia-lavamd-4,40966
rodinia-myocyte-4,41372
rodinia-pathfinder-0,45439
rodinia-srad-4,46297
rodinia-lud-4,46318
rodinia-needle-2,47245
rodinia-lavamd-1,49239
rodinia-srad-0,50116
rodinia-myocyte-4,50319
rodinia-myocyte-3,50520
rodinia-lavamd-4,52422
rodinia-srad-0,53052
rodinia-myocyte-2,53386
rodinia-needle-4,53461
rodinia-lud-3,54178
rodinia-lud-3,55899
rodinia-needle-3,56978
rodinia-needle-3,57736
rodinia-lavamd-1,57975
rodinia-needle-3,60053
rodinia-lavamd-3,60902
rodinia-lavamd-3,61059
rodinia-lud-4,62577
rodinia-lud-1,63459
rodinia-lavamd-4,63569
rodinia-lud-3,63780
rodinia-pathfinder-0,65937
rodinia-lud-0,66248
rodinia-pathfinder-0,68200
rodinia-srad-1,69523
rodinia-srad-1,70133
rodinia-srad-0,70350
rodinia-lud-0,71062
rodinia-pathfinder-3,71646
rodinia-pathfinder-1,71845
rodinia-lud-1,71930
rodinia-lud-2,76087
rodinia-lud-3,77976
rodinia-needle-3,79394
rodinia-srad-2,80720
rodinia-needle-4,81725
rodinia-srad-1,82208
rodinia-needle-2,84154
rodinia-lavamd-4,84280
rodinia-needle-4,86058
rodinia-srad-3,86464
rodinia-lud-2,86798
rodinia-lud-1,87238
rodinia-lud-3,87427
rodinia-needle-2,87867
rodinia-needle-4,88270
rodinia-pathfinder-4,88691
rodinia-srad-2,91483
rodinia-lud-4,91586
rodinia-lud-3,92034
rodinia-myocyte-2,92222
rodinia-lud-3,93848
rodinia-needle-3,95089
rodinia-lud-1,98101
rodinia-needle-4,99378
rodinia-lud-0,100000
rodinia-lud-0,100239
rodinia-lud-2,100317
rodinia-needle-2,100796
rodinia-lud-3,103643
rodinia-lud-1,103831
rodinia-myocyte-2,104212
rodinia-lavamd-4,107982
rodinia-lud-2,110979
rodinia-lud-1,112557
rodinia-myocyte-4,113756
rodinia-needle-4,114078
rodinia-lavamd-4,116656
rodinia-srad-2,116794
rodinia-srad-2,118109
rodinia-needle-4,118515
rodinia-needle-4,118867
rodinia-lud-1,119942
rodinia-lavamd-3,120710
rodinia-needle-4,123020
rodinia-lud-0,123951
rodinia-lud-2,124127
rodinia-lud-1,125492
rodinia-pathfinder-4,127360
rodinia-lud-0,128285
rodinia-pathfinder-4,129042
rodinia-needle-4,129267
rodinia-srad-0,129652
rodinia-lud-4,130117
rodinia-myocyte-4,131385
rodinia-pathfinder-4,131608
rodinia-needle-3,132319
rodinia-srad-1,132710
rodinia-needle-2,133031
rodinia-needle-3,133784
rodinia-srad-0,133840
rodinia-needle-4,133875
