func_name,invoke_time_ms
onnx-roberta-0,688
onnx-roberta-4,1763
pyhpc-isoneural-0,2895
pyhpc-eos-3,3015
torch_rnn-0,3398
onnx-roberta-0,3742
onnx-roberta-3,6529
pyhpc-eos-1,7494
squeezenet-2,7997
onnx-roberta-2,8055
cupy-1,10366
cupy-4,10895
onnx-roberta-0,11859
pyhpc-eos-4,14613
torch_rnn-1,15894
cupy-1,16050
onnx-roberta-3,16056
torch_rnn-0,16123
onnx-roberta-1,17811
cupy-2,18952
pyhpc-eos-0,19401
onnx-roberta-0,19574
squeezenet-2,20495
pyhpc-eos-2,23488
torch_rnn-4,23885
cupy-0,24208
torch_rnn-4,24234
pyhpc-eos-2,24887
onnx-roberta-3,24899
pyhpc-eos-1,25144
pyhpc-eos-1,25289
pyhpc-isoneural-3,26237
cupy-1,27097
pyhpc-isoneural-0,27248
squeezenet-4,28273
torch_rnn-4,30079
squeezenet-1,30206
squeezenet-4,30322
squeezenet-1,30924
squeezenet-4,31086
squeezenet-2,32535
pyhpc-eos-1,33077
cupy-4,33380
onnx-roberta-3,33976
onnx-roberta-1,34399
pyhpc-isoneural-3,35795
cupy-4,35892
torch_rnn-3,36321
onnx-roberta-4,37096
pyhpc-eos-3,37233
pyhpc-isoneural-1,37316
pyhpc-eos-3,37338
squeezenet-4,37407
pyhpc-eos-4,38480
pyhpc-eos-1,39139
pyhpc-eos-3,39539
onnx-roberta-0,40012
cupy-0,41113
torch_rnn-0,41334
onnx-roberta-3,41770
torch_rnn-1,42118
squeezenet-0,43682
onnx-roberta-1,43694
pyhpc-eos-4,44385
onnx-roberta-1,44503
pyhpc-eos-3,44829
cupy-2,45361
squeezenet-1,45534
pyhpc-isoneural-1,46233
squeezenet-2,47013
onnx-roberta-0,48610
pyhpc-eos-2,49018
squeezenet-2,50058
torch_rnn-0,50093
onnx-roberta-2,50180
cupy-4,50220
pyhpc-isoneural-3,51299
onnx-roberta-4,51664
torch_rnn-4,53827
torch_rnn-0,53965
cupy-4,53994
onnx-roberta-0,54002
pyhpc-isoneural-3,54435
squeezenet-2,55177
onnx-roberta-3,55213
pyhpc-eos-2,56400
squeezenet-1,57332
onnx-roberta-3,57719
onnx-roberta-3,58008
onnx-roberta-2,59361
cupy-0,59790
pyhpc-eos-0,60481
cupy-4,60949
pyhpc-eos-1,61517
pyhpc-eos-2,61531
cupy-1,62782
squeezenet-2,65253
pyhpc-eos-2,65262
squeezenet-4,65659
cupy-0,66275
squeezenet-0,68159
pyhpc-isoneural-1,69798
cupy-0,71036
torch_rnn-4,71921
torch_rnn-2,73646
torch_rnn-4,74848
pyhpc-eos-2,75667
onnx-roberta-3,76523
pyhpc-eos-3,77466
onnx-roberta-1,78396
squeezenet-2,79902
pyhpc-eos-1,80486
squeezenet-1,82049
squeezenet-0,82418
pyhpc-eos-1,82865
pyhpc-isoneural-1,87758
squeezenet-0,87914
squeezenet-4,90392
onnx-roberta-1,90425
pyhpc-eos-3,90838
pyhpc-isoneural-0,91178
onnx-roberta-4,92501
cupy-0,94768
pyhpc-isoneural-3,95940
squeezenet-2,96194
