success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,onnx-roberta-0,true,5478143,1.1150846481323242,6661109,d79e08bfdc337049cc0a79dc231c66c0
true,onnx-roberta-4,true,1124931,1.107463836669922,1126482,af49ab7b31fb915ffcb78605e5d701c5
true,pyhpc-isoneural-0,true,582279,0.5700485706329346,583462,c3164066692eacaa2d50c8f297408f79
true,pyhpc-eos-3,true,64960,0.05839300155639648,66243,92d967e376aefb91d476965ea4cf9e0c
true,torch_rnn-0,true,307880,0.30103492736816406,308971,7ca9970dce9127afe4b7ae7851a06d9b
true,onnx-roberta-0,true,5355795,1.0728209018707275,7466741,e3d8caeb6c21d4e93a68c1e5f9135f9b
true,onnx-roberta-3,true,5549910,1.201829195022583,8225364,3134a086bd10232d20e432429cf40b0c
true,pyhpc-eos-1,true,66298,0.06007695198059082,67319,929ae74d5bd1c913205143f73a2ff087
true,squeezenet-2,true,2116836,2.1125123500823975,2118095,8882f6cc6255899827e01f98e209aa7a
true,onnx-roberta-2,true,6077680,1.2596242427825928,7443705,8ec72bb400a046c41d879a7e11907094
true,cupy-1,true,2459434,2.451418876647949,6005072,ede9a8614f9f172adf5ac5d10292ca64
true,cupy-4,true,2518229,2.5104687213897705,2833035,27d8217ec66b62e5f806d8da2f75545a
true,onnx-roberta-0,false,183323,0.17465615272521973,2052796,88c013e61f7aaec7e40863592888b10f
true,pyhpc-eos-4,true,64834,0.05779266357421875,65930,733e5511259749fd434b6f89d8a0c763
true,torch_rnn-1,true,123422,0.11699628829956056,124689,e0c60bc10c58c96bc62335c134733c4e
true,cupy-1,true,2513176,2.2953622341156006,4030971,25b6aba2d97345c84a59f73e0edb43a3
true,onnx-roberta-3,false,302024,0.15220069885253906,617623,a09a97b4f23dab6c9996353b4f5fe858
true,torch_rnn-0,false,34346,0.030501127243041992,35713,d41d4f2fdf6068681a705b5a56ae4e3d
true,onnx-roberta-1,true,5395601,1.151052713394165,6556433,5544fa4309afb8e89ba3f17610f345eb
true,cupy-2,true,2625855,2.3822295665740967,3745996,96eea0ecc4766e3605e5bf459f5629e2
true,pyhpc-eos-0,true,50321,0.0426785945892334,51709,fd310366b3b91ca2aa6036676fe95d0a
true,onnx-roberta-0,false,273756,0.16150856018066406,275310,8f25a06c148d5c59c36b66a82cb1922d
true,squeezenet-2,false,1056235,1.0528323650360107,1057404,2986fec862401999be52bd95bef877e3
true,pyhpc-eos-2,true,75193,0.06831121444702148,77280,4c124275e167070484e464bc3f7234e0
true,torch_rnn-4,true,128756,0.12035179138183594,129864,5596a7b9dd504d910d58643812425532
true,cupy-0,true,3418313,3.197728157043457,5502806,80231e44dfd51aba9dc6f0e76f40d8d4
true,torch_rnn-4,false,36146,0.03321981430053711,37049,405a1f3316f39378f61931f75018a05a
true,pyhpc-eos-2,false,61835,0.05821514129638672,62841,932f85dc703c3e152b4baf7150abe9fb
true,onnx-roberta-3,false,350942,0.3408083915710449,352547,a06e493ce2c9a49868d0226cf343707e
true,pyhpc-eos-1,false,59593,0.05632638931274414,60796,f50382113ae15926bb27f3f211217a28
true,pyhpc-eos-1,false,59147,0.05598878860473633,60268,ab5939156ad0c62bf460a00415233e58
true,pyhpc-isoneural-3,true,709823,0.6983335018157959,710890,2d7a58a6da2eab5e736c5f8b8fe12ce2
true,cupy-1,false,1865875,1.714649677276611,1867461,c534b9ab94306577d282c550076be185
true,pyhpc-isoneural-0,false,571225,0.5631155967712402,572514,a3334197a53cdf78aa39cbdb4eed46f2
true,squeezenet-4,true,1525799,1.5206928253173828,1527046,cc48c92d0d9ebad458ecaa7df7df111b
true,torch_rnn-4,false,31886,0.02887487411499023,32819,ec147fc8385336cb568cfed0cd73eaf1
true,squeezenet-1,true,1773339,1.7688260078430176,1774326,bb545c8eea0c20b2d407543e2775b106
true,squeezenet-4,false,1381174,1.3780920505523682,1382461,199aa86a98eb87304b761d5d689f6f43
true,squeezenet-1,true,3145195,1.4864346981048584,3661124,73aaf70ff9b78ffaadf54c7bb345153c
true,squeezenet-4,true,3012685,1.367182970046997,3593716,94e26c2499e48181a15a082ca8efce01
true,squeezenet-2,false,1114281,1.110950946807861,1115367,b0a88da008e2113e00a72a4fb55dc3d1
