success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,onnx-roberta-2,true,5523436,1.2109808921813965,7191395,0fdf195968128f9d072d75b07df2ce7d
true,torch_rnn-0,true,3892413,2.38267183303833,6106275,994eeef2aad32b860972f29e5ca70897
true,onnx-roberta-3,true,1157912,1.144881010055542,6124719,c11682dcd2860f4fb777f75aae1d85da
true,torch_rnn-4,true,2365115,2.357512950897217,6160741,5b6c83cc3dc70ab324db45c75b60a82e
true,squeezenet-2,true,2779693,2.7713754177093506,10268911,fae0ab959543e454e009497050191916
true,squeezenet-0,true,3402189,3.397221326828003,6864466,25c891c7991e7d49e29b99a058a978e6
true,onnx-roberta-1,true,5324896,1.055485725402832,12969308,9fc19db75e74dc450849618421090288
true,torch_rnn-2,true,4091409,2.386471748352051,31345536,b705d8b2aae2dcdc39d5dc85dd09f419
true,cupy-4,true,2430225,2.423513412475586,23679942,7e1f249dec8655fe554a1ef1f6e90441
true,pyhpc-isoneural-3,true,9754707,9.51783299446106,13682998,0646d38ce7d03454747b0bfced742e38
true,cupy-2,true,2653893,2.3818843364715576,20132673,4457b7d2db9ede3eee4935b90f6da475
true,onnx-roberta-4,true,1171604,1.1535305976867676,15867119,1923983338240a345f73a9aac5a1f487
true,onnx-roberta-3,false,233720,0.2228999137878418,15547026,4e8bdb1545e3bedb3a71cb97a46d5f73
true,pyhpc-isoneural-3,false,37877,0.03506112098693848,12023750,9e9a3ab5e6e0b11828b8e276ea45a35b
true,pyhpc-isoneural-0,true,9807938,9.57617998123169,13678030,fc8a22d2d32ae006dd63c719a8d0ddd2
true,torch_rnn-4,false,48998,0.045371055603027344,10436892,4e3c738d2e01ac4b4ac737ed71af41b6
true,pyhpc-isoneural-3,false,13841,0.012045860290527344,10158649,cf410d98111ac1fb58051d310beff678
true,onnx-roberta-2,false,218519,0.20788240432739255,18096335,0e8f0f81fb1ea7c98907fe1beab5fb12
true,onnx-roberta-0,true,5564667,1.1872618198394775,15090291,cd528013ebe178788b244485a64ea9ce
