func_name,invoke_time_ms
cupy-4,679
onnx-roberta-0,785
pyhpc-eos-4,878
squeezenet-2,986
onnx-roberta-2,1584
cupy-4,2216
pyhpc-eos-0,3290
pyhpc-eos-0,3476
squeezenet-0,5282
pyhpc-eos-0,5879
onnx-roberta-2,6938
pyhpc-isoneural-3,8054
pyhpc-eos-4,11152
pyhpc-eos-0,11884
onnx-roberta-1,12784
squeezenet-2,12824
cupy-1,13192
onnx-roberta-0,13323
squeezenet-1,13547
squeezenet-0,13664
pyhpc-isoneural-0,14256
pyhpc-eos-4,14609
cupy-1,15045
squeezenet-0,15204
onnx-roberta-1,15735
onnx-roberta-2,16223
torch_rnn-1,16705
onnx-roberta-0,16752
cupy-4,17463
onnx-roberta-1,18534
cupy-4,18911
pyhpc-eos-1,19044
squeezenet-1,19235
cupy-2,20261
onnx-roberta-2,20503
pyhpc-isoneural-3,20791
pyhpc-isoneural-2,21569
pyhpc-isoneural-4,21984
cupy-1,22716
pyhpc-eos-3,22911
onnx-roberta-4,23242
pyhpc-eos-4,23484
pyhpc-isoneural-3,23907
cupy-1,24684
squeezenet-0,25042
cupy-0,27091
cupy-1,27661
onnx-roberta-0,28876
pyhpc-isoneural-0,30101
torch_rnn-4,30281
pyhpc-eos-4,30891
pyhpc-eos-2,31129
onnx-roberta-2,31253
onnx-roberta-2,32245
onnx-roberta-4,32368
cupy-1,32671
pyhpc-isoneural-1,33545
cupy-4,33608
onnx-roberta-4,33742
pyhpc-eos-2,33916
onnx-roberta-0,34604
pyhpc-isoneural-3,34800
onnx-roberta-1,36369
cupy-1,40883
onnx-roberta-2,40891
torch_rnn-0,41554
squeezenet-0,42660
pyhpc-eos-2,42736
squeezenet-0,43106
pyhpc-eos-3,43570
squeezenet-1,44042
pyhpc-eos-0,44291
cupy-1,45446
onnx-roberta-1,45698
pyhpc-eos-2,46004
onnx-roberta-3,46250
pyhpc-eos-1,46484
onnx-roberta-2,46817
onnx-roberta-3,46911
pyhpc-eos-1,47234
onnx-roberta-1,48827
pyhpc-eos-3,49155
onnx-roberta-4,49839
squeezenet-1,50786
pyhpc-eos-0,51142
onnx-roberta-2,51345
onnx-roberta-2,52618
pyhpc-isoneural-4,53793
pyhpc-eos-1,54068
pyhpc-eos-3,54870
cupy-4,55654
pyhpc-isoneural-1,55705
pyhpc-eos-4,55844
onnx-roberta-1,56741
squeezenet-0,56935
squeezenet-0,57309
onnx-roberta-2,57651
cupy-2,58175
pyhpc-eos-3,58349
torch_rnn-0,59461
onnx-roberta-1,60508
pyhpc-isoneural-3,61070
squeezenet-2,61978
onnx-roberta-1,62094
pyhpc-isoneural-1,62771
pyhpc-eos-3,62847
onnx-roberta-3,63664
onnx-roberta-1,64130
pyhpc-isoneural-0,65202
pyhpc-eos-0,66258
squeezenet-4,67700
pyhpc-eos-1,67919
onnx-roberta-2,69762
squeezenet-4,70161
onnx-roberta-4,70626
squeezenet-0,71053
cupy-0,71367
onnx-roberta-0,71599
pyhpc-isoneural-2,71654
squeezenet-2,72528
pyhpc-eos-1,72545
squeezenet-0,72939
torch_rnn-4,73184
pyhpc-isoneural-1,73405
pyhpc-isoneural-3,73429
onnx-roberta-0,73666
cupy-2,75873
pyhpc-eos-3,76253
squeezenet-4,76554
torch_rnn-3,76806
pyhpc-isoneural-1,78103
pyhpc-eos-0,78894
torch_rnn-2,81131
onnx-roberta-1,81182
pyhpc-eos-4,81549
onnx-roberta-2,81712
pyhpc-isoneural-1,81846
pyhpc-eos-1,81853
squeezenet-4,82553
squeezenet-0,82955
pyhpc-eos-2,83118
pyhpc-eos-3,83378
torch_rnn-4,83685
cupy-1,84756
torch_rnn-3,85343
cupy-1,85766
cupy-4,86056
onnx-roberta-2,87294
squeezenet-2,88249
pyhpc-isoneural-2,88452
onnx-roberta-0,89655
cupy-1,89764
squeezenet-2,90721
torch_rnn-4,91021
onnx-roberta-3,91176
pyhpc-isoneural-2,92222
cupy-4,92293
onnx-roberta-0,92594
cupy-4,92646
pyhpc-eos-2,93089
pyhpc-eos-0,93701
