success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,onnx-roberta-3,true,5634490,1.1344187259674072,6969985,e416c0d7bea54e2b13cdd3c81c984af3
true,torch_rnn-3,true,4088077,2.396711826324463,5613043,9a6fa6e91d0f9ed9f9063a34c19e8777
true,pyhpc-eos-0,true,4176088,3.949078559875488,5441241,57d564de4c4c4c5a91039224b173bc8c
true,torch_rnn-0,true,4703933,3.0704405307769775,44138618,5733899c5635103d7fee996ea550d03e
true,pyhpc-eos-0,false,9358,0.006432056427001953,5397542,f88ffa7dbb445337b57531b5d14d763b
true,pyhpc-eos-2,true,3941955,3.935195446014404,13710200,ea5cab746f9ae257d4e1b2bc4e7a5a14
true,onnx-roberta-1,true,6160252,1.0729010105133057,35063358,30811b65ec72ba0ca30bea5d07a1dad5
true,pyhpc-isoneural-2,true,9458158,9.44972825050354,13109191,20196804702be474ad74ec809b396f00
true,onnx-roberta-2,true,5328426,1.092527151107788,11529990,ac05f31a8ded48fa55442989994ea933
true,cupy-1,true,2610127,2.3253512382507324,5836553,c23b24678a1be86ead2be8a9352aed97
true,cupy-1,false,900158,0.8964009284973145,6689655,08169ab1dd037c6ca2f1c88958c37e53
true,torch_rnn-3,false,35368,0.03115630149841309,44253936,fb0bdd9c247fd92e4ca54a125ee1a985
true,cupy-1,false,896759,0.8932168483734131,28806503,36e6ad3f6ec33e176a91b96fa56e2959
true,pyhpc-eos-0,false,8127,0.0055658817291259766,1517435,3c7b14271691ada74f3921725e4ca91c
true,pyhpc-isoneural-3,true,9691169,9.41475224494934,12246713,c0c2688425b8998ec67510fdfda7b1ce
true,pyhpc-eos-0,false,12236,0.008881330490112305,4332896,bb306fe1864b0aa519ae25af2983264e
true,cupy-1,false,914773,0.911027193069458,37829403,6b13c77555d7038a798d870764b49445
true,pyhpc-isoneural-3,false,41292,0.0332798957824707,15945417,5d0853957f970e4ad53fb547b5801342
true,squeezenet-2,true,5990444,3.588576316833496,15814107,93f2c63c3bfeb2bfdd9398311ad0eb65
true,onnx-roberta-0,true,1108872,1.0890278816223145,14889198,3bf2bb560753beddde1004e1039ef4a0
true,pyhpc-eos-4,true,4021129,3.747534990310669,13794577,66a4df1fc0757787dfb8eb16080b744b
true,onnx-roberta-3,false,202133,0.1925826072692871,14621307,6a0a488cc06e7baa1e4b9d0e3d4222b7
true,onnx-roberta-2,false,194087,0.1857743263244629,7505838,d54b0c10b0e1704f4b1fc30c38a57468
true,cupy-0,true,2916936,2.691493272781372,17577379,740b3d7c978192d8d7b3e371e8da92d8
true,pyhpc-eos-2,false,12744,0.009269237518310549,17133789,578d3f9b7868e7f0adf151c9fffa7202
true,cupy-4,true,3182895,2.9634530544281006,18246210,683e528a7422e0ba4efa1177cf6a2cd5
true,pyhpc-eos-0,false,42501,0.014415502548217772,13456223,db4cc930c4e277b5c7d94ad0e685230b
true,cupy-0,false,1085011,1.081371784210205,29131415,92b2d02bde7e3a77535a5eb6f4935453
true,pyhpc-eos-0,false,26137,0.023366451263427734,44717569,e6496d516c595cab6e47a113d7bbff5f
true,pyhpc-eos-2,false,17258,0.013683557510375977,34023456,fd29ecc94a75e6eff95b25fda44a8544
true,cupy-4,false,998418,0.9935612678527832,23562108,75c365e484fa190ce68d0aed17739ba1
true,torch_rnn-4,true,2364403,2.357379913330078,5893201,4f89ef1e27b7e418e452ac7b2cd97e1a
true,cupy-2,true,3352718,3.1102771759033203,14311369,8afa05de1439ae6a22552c1418c2d8ab
true,pyhpc-eos-3,true,4302322,4.073262691497803,38122098,c1fc4a9b5eda473d49a81d1d715b36f4
true,onnx-roberta-2,false,171623,0.16373348236083984,3298299,64c410f6306416749b2b9b0627eb93de
true,pyhpc-eos-1,true,4169533,4.162362575531006,9341926,0cb533e10dfeda24a5562f30c3aa3fba
