func_name,invoke_time_ms
onnx-roberta-3,171
torch_rnn-3,357
pyhpc-eos-0,980
torch_rnn-0,992
pyhpc-eos-0,1033
pyhpc-eos-2,1232
onnx-roberta-1,1340
pyhpc-isoneural-2,2877
onnx-roberta-2,3710
cupy-1,4251
cupy-1,4311
torch_rnn-3,4430
cupy-1,4688
pyhpc-eos-0,5010
pyhpc-isoneural-3,5261
pyhpc-eos-0,5766
cupy-1,5879
pyhpc-isoneural-3,6050
squeezenet-2,6518
onnx-roberta-0,7832
pyhpc-eos-4,8114
onnx-roberta-3,8358
onnx-roberta-2,8675
cupy-0,8680
pyhpc-eos-2,9311
cupy-4,9388
pyhpc-eos-0,9499
cupy-0,9501
pyhpc-eos-0,9761
pyhpc-eos-2,10922
cupy-4,11142
torch_rnn-4,12825
cupy-2,12841
pyhpc-eos-3,12963
onnx-roberta-2,13054
pyhpc-eos-1,13545
pyhpc-eos-4,13593
squeezenet-2,13844
onnx-roberta-2,14563
torch_rnn-4,15087
squeezenet-1,15145
pyhpc-isoneural-3,15512
onnx-roberta-1,15516
onnx-roberta-0,15547
onnx-roberta-2,15899
torch_rnn-4,16173
pyhpc-eos-4,16748
pyhpc-eos-1,17031
pyhpc-eos-1,17257
torch_rnn-4,17297
onnx-roberta-4,17692
pyhpc-isoneural-0,18199
onnx-roberta-0,18212
squeezenet-0,18289
pyhpc-isoneural-1,18349
pyhpc-eos-1,18453
pyhpc-isoneural-2,18638
pyhpc-isoneural-0,18879
pyhpc-eos-1,18901
cupy-2,20037
onnx-roberta-2,20617
onnx-roberta-2,20716
onnx-roberta-3,21542
squeezenet-4,21542
pyhpc-isoneural-2,22276
cupy-2,22297
squeezenet-1,22480
pyhpc-eos-1,22522
pyhpc-isoneural-3,23360
torch_rnn-0,23445
pyhpc-eos-0,24164
torch_rnn-2,25075
torch_rnn-4,25162
onnx-roberta-2,25214
squeezenet-0,26042
onnx-roberta-0,26621
squeezenet-1,27775
pyhpc-eos-4,27815
onnx-roberta-2,27830
pyhpc-eos-0,27891
pyhpc-eos-0,28336
pyhpc-isoneural-3,28714
pyhpc-isoneural-3,29046
onnx-roberta-0,29453
onnx-roberta-4,29633
onnx-roberta-1,30106
cupy-2,30704
pyhpc-isoneural-3,32342
pyhpc-eos-0,32597
onnx-roberta-2,32654
squeezenet-0,33102
cupy-4,33248
onnx-roberta-1,33421
pyhpc-eos-4,33563
onnx-roberta-4,33689
pyhpc-isoneural-3,33697
torch_rnn-4,33728
torch_rnn-1,33997
squeezenet-2,34158
torch_rnn-4,34580
onnx-roberta-1,34712
onnx-roberta-3,34739
pyhpc-isoneural-1,34855
squeezenet-2,34965
pyhpc-isoneural-1,35319
squeezenet-1,35411
onnx-roberta-4,35431
pyhpc-isoneural-0,35922
onnx-roberta-4,36287
pyhpc-eos-1,36295
pyhpc-isoneural-2,36411
pyhpc-eos-4,36486
cupy-0,37374
squeezenet-2,38701
squeezenet-0,38956
cupy-4,38982
pyhpc-isoneural-0,39452
cupy-1,39513
squeezenet-1,40464
cupy-4,40740
cupy-1,41475
cupy-1,41608
pyhpc-eos-3,42195
pyhpc-eos-2,42237
squeezenet-2,42631
pyhpc-isoneural-3,43316
onnx-roberta-0,43346
torch_rnn-0,44093
onnx-roberta-1,44118
pyhpc-eos-2,44160
onnx-roberta-1,44282
pyhpc-eos-4,44288
onnx-roberta-0,44726
pyhpc-eos-3,45032
cupy-0,45872
onnx-roberta-4,46091
onnx-roberta-2,46775
pyhpc-isoneural-0,47012
torch_rnn-3,47456
pyhpc-isoneural-1,47578
onnx-roberta-0,47652
squeezenet-1,48221
pyhpc-eos-0,49583
pyhpc-isoneural-3,49923
torch_rnn-3,50529
pyhpc-eos-0,50584
torch_rnn-3,50798
pyhpc-eos-0,51275
squeezenet-1,51287
torch_rnn-4,51330
onnx-roberta-2,51366
pyhpc-eos-3,51788
squeezenet-0,52801
pyhpc-isoneural-0,53389
torch_rnn-3,53664
pyhpc-isoneural-0,53765
pyhpc-eos-4,54690
pyhpc-isoneural-0,55163
squeezenet-2,55184
pyhpc-eos-4,55719
squeezenet-2,56047
onnx-roberta-2,56406
cupy-2,56663
pyhpc-eos-1,56749
pyhpc-eos-1,56952
pyhpc-isoneural-1,56957
pyhpc-isoneural-3,57737
onnx-roberta-1,58565
onnx-roberta-4,59007
pyhpc-isoneural-0,59300
pyhpc-eos-2,59696
cupy-0,60185
cupy-4,60506
pyhpc-isoneural-0,60734
squeezenet-0,61213
squeezenet-0,61554
pyhpc-isoneural-0,61585
squeezenet-1,61920
pyhpc-isoneural-4,62019
pyhpc-isoneural-4,62634
pyhpc-eos-4,63189
onnx-roberta-2,63241
pyhpc-eos-3,63317
pyhpc-isoneural-3,63657
onnx-roberta-2,63761
pyhpc-isoneural-0,64280
onnx-roberta-1,64724
pyhpc-isoneural-0,65008
torch_rnn-1,65503
pyhpc-isoneural-3,65694
cupy-0,65750
pyhpc-isoneural-2,65876
onnx-roberta-2,65936
pyhpc-isoneural-1,66101
squeezenet-0,66471
squeezenet-0,67069
pyhpc-eos-0,67798
cupy-2,68446
torch_rnn-4,68604
squeezenet-0,68682
pyhpc-isoneural-2,69167
torch_rnn-0,69566
squeezenet-2,69769
onnx-roberta-2,70755
cupy-4,70904
pyhpc-isoneural-3,71126
onnx-roberta-2,71240
torch_rnn-4,71708
pyhpc-eos-3,71939
onnx-roberta-3,72338
pyhpc-eos-2,73382
torch_rnn-1,73538
pyhpc-isoneural-2,75068
onnx-roberta-2,75070
pyhpc-eos-2,75118
pyhpc-isoneural-0,75247
onnx-roberta-2,75320
pyhpc-eos-2,75432
onnx-roberta-1,75488
onnx-roberta-2,75516
squeezenet-1,75833
onnx-roberta-3,76007
onnx-roberta-2,76307
cupy-2,76774
cupy-1,77214
torch_rnn-4,77790
pyhpc-eos-3,77795
onnx-roberta-1,78001
pyhpc-isoneural-3,78065
squeezenet-1,78369
onnx-roberta-0,78556
squeezenet-0,79517
torch_rnn-4,79579
pyhpc-eos-0,79659
squeezenet-2,79989
cupy-4,80875
pyhpc-eos-2,80881
squeezenet-2,80891
pyhpc-eos-4,80929
squeezenet-1,80999
squeezenet-0,81775
cupy-2,81829
squeezenet-2,81952
onnx-roberta-3,82217
onnx-roberta-1,82296
pyhpc-eos-1,82586
onnx-roberta-4,82865
squeezenet-0,83064
cupy-1,83108
onnx-roberta-3,83723
pyhpc-eos-0,84459
pyhpc-isoneural-3,85420
pyhpc-isoneural-1,86037
pyhpc-eos-4,86105
pyhpc-eos-3,86224
onnx-roberta-1,86339
