func_name,invoke_time_ms
torch_rnn-1,747
pyhpc-eos-3,1472
onnx-roberta-1,3223
pyhpc-eos-2,3604
torch_rnn-4,4504
squeezenet-2,5061
pyhpc-isoneural-3,5555
pyhpc-isoneural-1,6642
pyhpc-isoneural-0,6771
pyhpc-eos-3,6910
squeezenet-0,7904
pyhpc-isoneural-0,8171
torch_rnn-4,8176
torch_rnn-2,8236
pyhpc-isoneural-0,8671
onnx-roberta-0,8783
pyhpc-eos-4,9154
onnx-roberta-2,9838
onnx-roberta-2,10935
pyhpc-eos-3,11071
pyhpc-eos-4,11117
cupy-0,11873
squeezenet-4,12047
cupy-4,12206
pyhpc-eos-2,12261
torch_rnn-0,12683
squeezenet-1,12685
onnx-roberta-2,13037
onnx-roberta-1,13289
onnx-roberta-4,13318
pyhpc-eos-0,13732
onnx-roberta-2,14282
torch_rnn-3,14402
pyhpc-eos-1,14479
onnx-roberta-3,14795
cupy-2,14987
squeezenet-1,15211
pyhpc-isoneural-1,15582
squeezenet-2,15727
onnx-roberta-1,16706
onnx-roberta-4,16762
pyhpc-isoneural-3,16890
pyhpc-isoneural-1,17223
onnx-roberta-0,17333
pyhpc-eos-3,17574
onnx-roberta-1,17741
squeezenet-2,17893
onnx-roberta-0,18201
pyhpc-eos-1,18640
cupy-2,19536
cupy-1,19833
onnx-roberta-1,21492
pyhpc-isoneural-3,21532
pyhpc-eos-0,21942
pyhpc-eos-3,22189
onnx-roberta-0,22363
cupy-1,22934
squeezenet-0,24069
onnx-roberta-0,24641
onnx-roberta-2,24745
pyhpc-eos-3,26679
pyhpc-isoneural-1,26697
cupy-0,27610
pyhpc-eos-4,28074
pyhpc-isoneural-0,28135
squeezenet-1,28449
pyhpc-isoneural-3,28615
squeezenet-4,28672
onnx-roberta-1,29083
cupy-1,29112
torch_rnn-4,29199
squeezenet-1,29327
torch_rnn-0,29524
pyhpc-eos-3,30154
pyhpc-eos-4,30368
pyhpc-isoneural-3,30464
pyhpc-isoneural-3,31001
onnx-roberta-4,31567
torch_rnn-4,31794
squeezenet-1,31952
squeezenet-4,31998
cupy-0,33237
pyhpc-eos-4,33516
onnx-roberta-0,34385
cupy-0,34934
squeezenet-1,36297
pyhpc-eos-0,36548
cupy-4,36931
pyhpc-isoneural-3,37431
torch_rnn-4,37679
pyhpc-isoneural-3,37824
pyhpc-eos-2,38529
squeezenet-1,38626
torch_rnn-0,38705
onnx-roberta-1,38806
cupy-1,38879
pyhpc-eos-1,38915
pyhpc-eos-3,39210
cupy-0,40796
pyhpc-eos-4,41011
pyhpc-eos-2,41027
cupy-2,41323
onnx-roberta-4,41440
squeezenet-0,41456
cupy-2,41868
onnx-roberta-3,42256
cupy-1,42519
onnx-roberta-2,42779
cupy-2,43236
pyhpc-eos-1,43445
squeezenet-4,43678
pyhpc-isoneural-3,43835
pyhpc-eos-2,45056
onnx-roberta-4,45319
pyhpc-isoneural-3,45322
pyhpc-eos-3,45339
onnx-roberta-1,45633
pyhpc-eos-2,47016
onnx-roberta-4,47035
squeezenet-2,47116
pyhpc-eos-1,47533
pyhpc-isoneural-3,47643
cupy-1,47735
pyhpc-isoneural-0,48173
pyhpc-eos-3,48222
torch_rnn-4,48282
onnx-roberta-3,48295
pyhpc-eos-3,49146
pyhpc-isoneural-2,49154
pyhpc-isoneural-0,49407
torch_rnn-0,50157
onnx-roberta-2,50531
pyhpc-eos-2,50785
torch_rnn-3,51115
cupy-4,51356
pyhpc-isoneural-1,51411
cupy-4,51731
cupy-1,51791
squeezenet-2,52868
cupy-4,52996
cupy-0,53654
pyhpc-eos-3,54562
pyhpc-eos-2,55606
pyhpc-eos-2,55999
squeezenet-2,56205
pyhpc-eos-1,57537
squeezenet-0,58048
pyhpc-isoneural-0,58276
pyhpc-eos-2,59310
cupy-4,60054
cupy-1,60621
torch_rnn-4,60935
torch_rnn-0,61319
pyhpc-eos-1,61999
pyhpc-eos-4,62340
pyhpc-isoneural-3,63081
pyhpc-eos-3,63374
pyhpc-isoneural-1,63909
squeezenet-0,64071
cupy-4,64118
pyhpc-eos-3,64379
onnx-roberta-0,64694
pyhpc-eos-3,65638
pyhpc-eos-3,66202
pyhpc-eos-2,66472
pyhpc-eos-0,66537
cupy-4,66757
torch_rnn-3,68293
squeezenet-1,68357
cupy-0,68422
torch_rnn-4,69565
onnx-roberta-4,69717
squeezenet-0,70167
onnx-roberta-3,70225
onnx-roberta-1,70821
squeezenet-0,70965
pyhpc-isoneural-3,71442
pyhpc-isoneural-2,71694
pyhpc-isoneural-2,71883
torch_rnn-0,72243
squeezenet-1,72320
onnx-roberta-3,74369
pyhpc-isoneural-1,74643
pyhpc-eos-0,74744
onnx-roberta-0,75460
cupy-1,76268
pyhpc-isoneural-1,76818
pyhpc-isoneural-0,76887
cupy-2,77415
onnx-roberta-3,77444
squeezenet-4,78241
squeezenet-1,78277
torch_rnn-0,78557
torch_rnn-0,78694
pyhpc-isoneural-4,78909
onnx-roberta-0,79045
onnx-roberta-1,79803
pyhpc-eos-4,80129
pyhpc-eos-2,80354
cupy-0,80816
onnx-roberta-0,80893
squeezenet-1,81427
pyhpc-eos-0,81766
cupy-0,81922
pyhpc-eos-0,82102
onnx-roberta-3,82135
onnx-roberta-3,82571
squeezenet-2,83700
pyhpc-eos-0,83707
cupy-4,84545
torch_rnn-3,84698
pyhpc-eos-4,84798
onnx-roberta-4,85119
pyhpc-isoneural-3,85446
cupy-1,86394
cupy-0,86756
pyhpc-eos-0,87229
torch_rnn-0,87283
onnx-roberta-1,88439
torch_rnn-4,88808
onnx-roberta-0,89530
squeezenet-4,89669
pyhpc-eos-2,89810
pyhpc-eos-1,89958
pyhpc-isoneural-3,90306
pyhpc-isoneural-3,90353
torch_rnn-1,91401
onnx-roberta-4,91687
onnx-roberta-0,91810
pyhpc-eos-2,92630
cupy-4,92640
torch_rnn-3,92793
squeezenet-0,93976
squeezenet-0,94138
pyhpc-eos-2,95189
torch_rnn-2,95887
onnx-roberta-0,96372
pyhpc-eos-2,97545
torch_rnn-4,97671
cupy-1,99216
pyhpc-eos-1,99241
cupy-4,99358
torch_rnn-4,99818
cupy-0,99953
torch_rnn-0,101026
squeezenet-4,101774
pyhpc-isoneural-1,101903
pyhpc-isoneural-3,102094
onnx-roberta-3,102277
cupy-4,102529
cupy-1,102902
squeezenet-0,103239
torch_rnn-4,103465
torch_rnn-0,103532
pyhpc-eos-4,104328
pyhpc-eos-1,104762
pyhpc-isoneural-3,104919
pyhpc-eos-3,105067
onnx-roberta-0,105363
pyhpc-eos-3,105615
onnx-roberta-3,105855
onnx-roberta-4,105906
torch_rnn-4,106204
pyhpc-eos-1,106299
onnx-roberta-4,106325
squeezenet-4,106804
onnx-roberta-0,106862
cupy-1,107963
cupy-4,108405
onnx-roberta-2,108835
pyhpc-isoneural-3,110083
torch_rnn-1,110142
pyhpc-eos-0,110417
pyhpc-isoneural-0,111212
pyhpc-eos-3,111239
onnx-roberta-4,112584
pyhpc-eos-3,113316
onnx-roberta-0,113374
onnx-roberta-2,113789
cupy-0,113818
onnx-roberta-2,114186
cupy-2,114275
pyhpc-eos-1,114324
pyhpc-eos-3,114332
pyhpc-eos-1,114419
pyhpc-isoneural-1,115307
squeezenet-2,115447
pyhpc-eos-2,115942
pyhpc-isoneural-1,116303
cupy-2,116447
onnx-roberta-1,116583
pyhpc-eos-4,116875
onnx-roberta-2,117057
