func_name,invoke_time_ms
pyhpc-isoneural-0,407
rodinia-lavamd-4,3416
cupy-4,3741
rodinia-srad-4,5655
torch_rnn-0,5725
cupy-1,6552
rodinia-lud-3,7539
onnx-roberta-2,8131
onnx-roberta-3,8158
onnx-roberta-1,8551
rodinia-lavamd-3,10015
pyhpc-eos-1,11533
rodinia-lud-0,11729
onnx-roberta-3,13710
torch_rnn-2,13806
rodinia-lud-3,16357
pyhpc-isoneural-3,17662
onnx-roberta-2,19054
rodinia-needle-2,20503
rodinia-lud-3,20513
torch_rnn-2,20944
pyhpc-isoneural-1,21057
pyhpc-isoneural-3,21856
cupy-1,22059
rodinia-lud-0,22137
rodinia-myocyte-2,22668
rodinia-lud-1,24324
rodinia-lavamd-3,25878
onnx-roberta-1,26000
rodinia-lud-0,26274
rodinia-pathfinder-3,26900
pyhpc-isoneural-1,29509
rodinia-lavamd-3,32233
cupy-4,32659
torch_rnn-2,32712
torch_rnn-2,32975
rodinia-needle-2,33336
squeezenet-1,34312
rodinia-myocyte-0,34488
rodinia-srad-4,34520
rodinia-lud-4,36010
rodinia-needle-2,37753
rodinia-lavamd-2,42077
rodinia-lavamd-1,42152
rodinia-pathfinder-1,42338
pyhpc-eos-4,42848
cupy-4,43004
rodinia-lavamd-4,44061
rodinia-needle-2,44160
squeezenet-1,46900
squeezenet-1,49241
rodinia-needle-4,49273
rodinia-srad-1,49334
pyhpc-isoneural-1,49532
pyhpc-isoneural-1,49561
pyhpc-eos-1,50897
pyhpc-isoneural-0,51469
pyhpc-eos-1,53150
pyhpc-eos-1,53302
rodinia-lud-1,53777
rodinia-lavamd-2,55539
rodinia-needle-2,56264
rodinia-lavamd-1,56386
onnx-roberta-2,56912
rodinia-lud-1,57148
rodinia-lud-0,58499
rodinia-needle-2,59029
rodinia-srad-0,59295
rodinia-srad-1,60272
rodinia-pathfinder-3,60796
rodinia-needle-3,61944
rodinia-needle-3,63943
rodinia-needle-4,64217
rodinia-needle-3,65542
squeezenet-0,65805
rodinia-srad-0,69734
rodinia-srad-1,70380
rodinia-myocyte-4,71060
rodinia-needle-2,71065
rodinia-lud-2,73024
rodinia-lud-1,73044
rodinia-lavamd-4,73534
onnx-roberta-3,74171
rodinia-needle-4,74852
rodinia-needle-4,74974
pyhpc-eos-0,76647
rodinia-lud-4,76711
pyhpc-isoneural-3,77603
rodinia-srad-2,77623
rodinia-pathfinder-4,79595
pyhpc-isoneural-1,79757
rodinia-lud-3,80180
rodinia-lavamd-1,80235
rodinia-needle-3,80375
rodinia-myocyte-1,80642
pyhpc-isoneural-1,81544
rodinia-myocyte-2,83785
rodinia-pathfinder-0,88046
rodinia-lavamd-3,88385
rodinia-myocyte-2,88542
onnx-roberta-0,88686
rodinia-lud-3,92084
rodinia-myocyte-4,92499
pyhpc-eos-3,95890
torch_rnn-1,97905
rodinia-myocyte-2,98302
rodinia-lud-3,98884
rodinia-needle-2,99515
onnx-roberta-1,102711
rodinia-myocyte-4,103931
cupy-1,105084
pyhpc-isoneural-3,105904
rodinia-pathfinder-0,106917
pyhpc-eos-4,107084
rodinia-lavamd-0,109713
pyhpc-isoneural-3,109738
onnx-roberta-1,110421
rodinia-pathfinder-4,113157
rodinia-needle-2,114206
rodinia-needle-2,116548
rodinia-lud-4,116798
torch_rnn-4,117524
torch_rnn-0,118655
squeezenet-0,119577
rodinia-lud-3,119841
torch_rnn-4,119907
rodinia-lud-4,120106
pyhpc-isoneural-1,120388
onnx-roberta-2,121086
onnx-roberta-2,121126
torch_rnn-2,121543
rodinia-pathfinder-3,122258
rodinia-pathfinder-4,122740
onnx-roberta-0,123581
onnx-roberta-0,123625
pyhpc-isoneural-3,123963
onnx-roberta-0,124646
squeezenet-2,124707
cupy-0,125202
rodinia-lud-0,126488
onnx-roberta-0,126694
rodinia-lud-2,126933
torch_rnn-0,130393
rodinia-needle-2,131635
torch_rnn-2,132033
cupy-0,133602
pyhpc-isoneural-0,135255
rodinia-myocyte-4,135810
rodinia-srad-2,136908
cupy-2,137211
onnx-roberta-2,137384
rodinia-srad-0,138032
rodinia-needle-4,140939
rodinia-srad-0,141125
torch_rnn-0,141672
squeezenet-1,141988
pyhpc-eos-3,142193
onnx-roberta-1,144261
rodinia-lud-0,144516
pyhpc-isoneural-0,144633
cupy-1,144914
pyhpc-eos-3,145207
rodinia-needle-3,145575
rodinia-srad-0,145631
rodinia-needle-4,146416
torch_rnn-0,147556
pyhpc-eos-1,148130
rodinia-lud-4,148210
rodinia-pathfinder-4,149796
pyhpc-isoneural-1,150143
rodinia-srad-0,151353
rodinia-lavamd-1,152634
rodinia-myocyte-4,153010
pyhpc-eos-3,153162
rodinia-lavamd-2,154008
rodinia-pathfinder-4,154167
pyhpc-eos-1,156697
rodinia-needle-2,158570
rodinia-lud-3,159163
rodinia-lud-0,159712
onnx-roberta-1,160467
torch_rnn-2,160612
rodinia-lavamd-1,161438
rodinia-needle-4,161820
rodinia-lud-1,163987
squeezenet-1,164267
rodinia-lud-3,164617
rodinia-needle-4,166739
onnx-roberta-1,168841
rodinia-lud-2,170686
rodinia-myocyte-2,170709
squeezenet-0,172230
pyhpc-isoneural-0,172524
cupy-1,173133
rodinia-lud-1,173228
torch_rnn-0,173777
rodinia-lud-0,176123
onnx-roberta-0,177207
rodinia-pathfinder-0,180114
torch_rnn-0,180501
rodinia-lud-4,181229
rodinia-lud-4,183118
