func_name,invoke_time_ms
rodinia-lud-3,109
squeezenet-0,433
rodinia-lud-0,1092
pyhpc-isoneural-3,1119
rodinia-needle-4,1851
pyhpc-isoneural-3,2349
pyhpc-isoneural-0,2754
rodinia-lavamd-4,3204
cupy-2,3431
pyhpc-eos-1,4209
pyhpc-isoneural-1,6823
cupy-0,6886
squeezenet-1,6894
rodinia-lud-4,7640
rodinia-lavamd-3,7989
onnx-roberta-0,8364
rodinia-srad-0,9047
rodinia-srad-0,10321
rodinia-srad-0,10389
pyhpc-eos-3,10960
squeezenet-0,11109
rodinia-myocyte-2,11345
rodinia-lud-0,11449
rodinia-lavamd-1,12638
rodinia-needle-2,12745
cupy-1,13109
squeezenet-0,13882
rodinia-lud-0,14548
pyhpc-eos-1,15223
rodinia-srad-1,15817
cupy-1,17660
rodinia-pathfinder-4,17805
torch_rnn-0,17836
rodinia-pathfinder-4,18758
pyhpc-isoneural-3,18921
rodinia-needle-3,18972
rodinia-lavamd-2,19018
rodinia-needle-4,19436
squeezenet-1,19953
rodinia-lavamd-1,20084
rodinia-srad-4,21053
rodinia-pathfinder-4,21294
torch_rnn-0,21581
rodinia-lud-4,22041
rodinia-myocyte-2,22105
onnx-roberta-0,22967
onnx-roberta-1,23305
pyhpc-isoneural-0,24339
squeezenet-1,24657
torch_rnn-1,25931
rodinia-needle-2,26279
pyhpc-isoneural-0,26718
cupy-1,27304
squeezenet-0,27669
rodinia-needle-3,27694
torch_rnn-0,28161
onnx-roberta-3,30158
rodinia-lavamd-1,30933
rodinia-lavamd-2,32707
pyhpc-isoneural-0,34311
rodinia-needle-4,35983
cupy-1,37124
rodinia-pathfinder-4,37149
pyhpc-isoneural-0,37978
onnx-roberta-0,38065
onnx-roberta-2,38848
rodinia-lud-4,41687
rodinia-lud-0,42386
rodinia-myocyte-3,43059
cupy-4,44002
rodinia-pathfinder-4,44329
rodinia-needle-4,44587
rodinia-myocyte-2,44666
rodinia-needle-4,47060
onnx-roberta-2,47150
rodinia-lud-1,47992
rodinia-srad-0,50036
squeezenet-2,50362
squeezenet-4,50687
rodinia-lavamd-2,50913
rodinia-lud-0,52137
rodinia-myocyte-2,52709
rodinia-lud-1,54308
pyhpc-isoneural-1,54643
rodinia-lavamd-0,56072
rodinia-srad-1,56170
rodinia-lavamd-2,57481
cupy-1,57493
pyhpc-eos-4,59157
cupy-2,60366
rodinia-lavamd-3,60914
torch_rnn-0,61223
torch_rnn-1,62811
onnx-roberta-1,64691
rodinia-lud-0,66548
rodinia-needle-3,67136
onnx-roberta-2,70803
rodinia-lud-3,71777
torch_rnn-0,72456
rodinia-lud-4,72673
squeezenet-1,73872
onnx-roberta-2,75099
rodinia-lud-4,76007
rodinia-lud-1,76136
rodinia-lavamd-1,77182
pyhpc-isoneural-1,78046
rodinia-srad-4,79001
rodinia-myocyte-2,79007
pyhpc-isoneural-0,80910
rodinia-lud-0,82572
rodinia-needle-4,82859
squeezenet-0,83650
pyhpc-eos-1,84354
rodinia-srad-0,84400
torch_rnn-0,84589
onnx-roberta-0,84765
rodinia-srad-1,85068
rodinia-srad-0,87624
rodinia-myocyte-2,88508
rodinia-myocyte-2,91085
onnx-roberta-1,91127
rodinia-myocyte-4,92147
onnx-roberta-0,92585
rodinia-pathfinder-3,92966
onnx-roberta-3,93262
squeezenet-1,93385
onnx-roberta-0,93765
pyhpc-eos-1,96710
squeezenet-0,97453
pyhpc-eos-0,97704
rodinia-lud-0,98286
rodinia-srad-3,100367
rodinia-lud-4,101726
rodinia-lud-3,101906
rodinia-lud-0,102024
rodinia-needle-4,102036
rodinia-myocyte-4,102446
rodinia-srad-0,103670
torch_rnn-0,104980
pyhpc-isoneural-0,108601
onnx-roberta-4,109847
pyhpc-eos-1,110798
onnx-roberta-2,111144
torch_rnn-1,111568
rodinia-needle-2,112079
onnx-roberta-0,113087
pyhpc-isoneural-0,113098
onnx-roberta-1,114245
squeezenet-1,114791
rodinia-srad-1,116536
torch_rnn-0,116830
onnx-roberta-2,117644
rodinia-lud-0,117825
rodinia-lud-3,117889
rodinia-needle-4,118183
rodinia-srad-0,118765
torch_rnn-1,118934
rodinia-lavamd-2,119022
torch_rnn-1,119558
torch_rnn-0,119791
torch_rnn-0,119834
rodinia-lud-0,120007
cupy-1,120041
rodinia-myocyte-4,122018
pyhpc-isoneural-0,122170
rodinia-needle-2,122943
rodinia-lavamd-2,123179
rodinia-lud-0,124439
rodinia-lavamd-3,126439
onnx-roberta-1,126651
rodinia-needle-3,127008
rodinia-lavamd-3,127082
pyhpc-isoneural-1,128139
rodinia-lavamd-2,128866
onnx-roberta-2,129158
rodinia-pathfinder-4,129268
squeezenet-0,129448
torch_rnn-1,131016
pyhpc-isoneural-0,131520
rodinia-srad-1,131546
rodinia-lud-4,132342
pyhpc-eos-1,132799
rodinia-srad-1,132837
cupy-0,133032
rodinia-pathfinder-0,135214
pyhpc-isoneural-0,136318
torch_rnn-0,136334
onnx-roberta-3,137069
rodinia-needle-2,138076
onnx-roberta-0,138606
rodinia-myocyte-2,139300
cupy-1,143058
rodinia-myocyte-0,143199
torch_rnn-4,143374
rodinia-needle-2,146315
rodinia-srad-1,146489
rodinia-lavamd-1,146934
rodinia-lavamd-4,147690
rodinia-lud-1,148167
squeezenet-1,150152
rodinia-lud-3,150963
onnx-roberta-2,152189
onnx-roberta-3,153447
rodinia-needle-3,153931
onnx-roberta-2,154116
torch_rnn-1,154473
onnx-roberta-3,154506
rodinia-srad-1,155122
pyhpc-isoneural-0,155303
rodinia-myocyte-4,155463
rodinia-myocyte-1,158638
rodinia-lud-2,160222
onnx-roberta-2,160366
rodinia-pathfinder-4,161738
onnx-roberta-1,164004
pyhpc-isoneural-1,164845
rodinia-srad-0,166406
pyhpc-eos-2,166703
rodinia-lavamd-3,167228
torch_rnn-0,168094
pyhpc-isoneural-3,168865
cupy-1,169276
squeezenet-0,171498
squeezenet-1,172626
pyhpc-isoneural-3,173306
rodinia-pathfinder-4,173796
rodinia-srad-4,173894
pyhpc-eos-3,175451
onnx-roberta-3,178984
rodinia-pathfinder-4,179771
onnx-roberta-4,180521
rodinia-srad-1,181326
pyhpc-eos-3,181401
rodinia-lud-1,182078
pyhpc-eos-1,183927
cupy-1,184656
rodinia-lud-4,184907
rodinia-needle-2,185278
rodinia-lud-1,185433
pyhpc-eos-1,186187
onnx-roberta-2,187036
torch_rnn-4,187523
squeezenet-1,190603
onnx-roberta-2,193962
torch_rnn-2,196197
squeezenet-1,196871
rodinia-lud-3,196887
pyhpc-isoneural-3,197490
cupy-1,197905
rodinia-needle-2,198304
rodinia-lud-4,198951
rodinia-pathfinder-0,199169
rodinia-needle-2,199461
rodinia-srad-3,200008
rodinia-lud-3,200956
onnx-roberta-2,201494
pyhpc-eos-1,201662
cupy-4,204158
pyhpc-isoneural-1,206138
onnx-roberta-0,206450
rodinia-lud-0,206676
pyhpc-isoneural-1,208263
rodinia-needle-4,209210
rodinia-needle-3,209305
torch_rnn-1,209462
rodinia-lavamd-2,210239
rodinia-lavamd-3,210344
rodinia-pathfinder-4,213270
cupy-1,215479
onnx-roberta-2,216377
rodinia-lud-4,216523
pyhpc-isoneural-3,217175
squeezenet-1,217556
pyhpc-isoneural-0,217639
rodinia-lud-0,217984
rodinia-pathfinder-4,218039
cupy-1,218187
torch_rnn-0,220261
rodinia-lavamd-3,220401
squeezenet-1,222519
onnx-roberta-0,223199
rodinia-lud-3,224553
pyhpc-isoneural-1,225011
onnx-roberta-2,226408
torch_rnn-0,227000
pyhpc-isoneural-0,228067
torch_rnn-1,230616
rodinia-needle-4,231193
torch_rnn-1,231888
rodinia-lavamd-1,235464
rodinia-pathfinder-4,236429
rodinia-myocyte-4,236481
rodinia-needle-2,238374
onnx-roberta-3,238723
torch_rnn-0,239168
rodinia-myocyte-4,239458
rodinia-pathfinder-4,241362
torch_rnn-1,241463
squeezenet-0,241760
rodinia-lud-0,244933
pyhpc-eos-3,244976
rodinia-myocyte-4,245620
onnx-roberta-4,245620
pyhpc-eos-1,245903
torch_rnn-0,246090
pyhpc-eos-1,246586
torch_rnn-1,247115
rodinia-lud-0,247589
onnx-roberta-2,249309
onnx-roberta-0,249329
rodinia-pathfinder-4,251474
squeezenet-0,252094
rodinia-lavamd-3,253970
pyhpc-isoneural-1,255486
rodinia-lud-4,257024
onnx-roberta-0,257905
rodinia-needle-4,258194
cupy-1,260093
pyhpc-eos-1,260885
rodinia-myocyte-2,261521
rodinia-lud-3,261906
