success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,pyhpc-isoneural-0,true,570664,0.5585477352142334,572012,bdcab26f994577197f1422f0611390b7
true,rodinia-needle-4,true,3481195,3.4715757369995117,3482436,9bdd130326abce98de314119ab318487
true,squeezenet-0,true,2661736,2.6581504344940186,2662852,c574394c993ed08cf5b9e6f40d46f77f
true,rodinia-srad-0,true,2771364,2.7641589641571045,2772343,a3ab3dfc0275fd992bc6b0aeeabf36a3
true,squeezenet-0,true,4168743,2.0036230087280273,5415178,c22f544e6f734706e12bbed0ec50a060
true,rodinia-lud-3,true,2246605,2.23929214477539,2247782,134c73d11c68fd106506ff513eac0bda
true,squeezenet-1,true,1752121,1.745802640914917,1753365,0641e722bc515faa27e59c301397b051
true,rodinia-myocyte-4,true,6458889,6.451647996902466,6460953,158a24f618752aa3c035c73df6a44521
true,rodinia-needle-4,true,4703336,4.589565753936768,5961843,2f3b9ef6cf82a0dac3450afc0ba7b8b3
true,rodinia-needle-4,true,4653933,4.523796796798706,5456270,1376e30df053ddd46cbc5fa95c0180c7
true,rodinia-lud-3,true,3000972,2.8979928493499756,4293323,3808e1ed659cd6110d89ad08218da5f9
true,onnx-roberta-1,true,1098059,1.0835509300231934,1099033,0f4f8aa27f74c3538560d3572866286a
true,cupy-0,true,16811609,16.80479335784912,16812378,27bfa12b155c066020b6455378f49756
true,squeezenet-1,false,1219555,1.216921329498291,1220451,a0287ac963323252c396d4b07844e797
true,rodinia-lavamd-2,true,487246,0.47550415992736816,488092,a2a67775cd2ece8bef5989a81b959aea
true,pyhpc-isoneural-4,true,914037,0.8983361721038818,914854,1a8bdc591f2c985992ee30237a69946f
true,squeezenet-1,true,4553940,1.9195241928100584,5494383,ebd57da0ccc9edc67c86f7ec76eac02e
true,torch_rnn-4,true,200167,0.18894362449645996,201206,035de26806446a0442f8b390f7275ceb
true,rodinia-lud-3,false,2562976,2.5593833923339844,2564028,c6692fd469e2fc638ce2fb3312aa8547
true,onnx-roberta-3,true,1147994,1.1255903244018557,1149138,e105c02efa350661421e0c5e8207f589
true,onnx-roberta-1,false,207762,0.1974167823791504,208660,2dc423ad47bb84a064b9816709348a7b
true,rodinia-lud-1,true,2030238,2.0206704139709473,2031449,5d90cbf949f68a8981e5c2491bb9ca9e
true,rodinia-lud-3,false,2426376,2.4196648597717285,2437332,7140d5ac782f59ae118de796be150fb9
true,squeezenet-1,false,1340158,1.3372461795806885,1341196,5dcf0f9ee37b58bf2d5abc36c67071c4
true,rodinia-lud-4,true,2514710,2.5078394412994385,2515764,6d08d7625d15db89db69db26dee17fd3
true,rodinia-pathfinder-4,true,4261438,4.251947402954102,4262374,c99887a1399880a89805f703c0df6a81
true,rodinia-lud-0,true,2701382,2.692596197128296,2702237,c028a952e4e8ee8a5daa2abbd07a39bc
true,pyhpc-isoneural-1,true,875797,0.856440544128418,877275,032d162edf4d964b76911c3e20de0206
true,rodinia-needle-2,true,5656437,5.647640228271484,5657760,e2ceaf6a14b6d67744bbb42be0950326
true,rodinia-pathfinder-4,true,6152403,6.028174877166748,7234654,be304c00655531db6c2bec987c23e38d
true,pyhpc-isoneural-3,true,797776,0.7793674468994141,798735,149f53bf8b19ffa88fc711e37a307d83
true,cupy-0,true,17244186,16.962758779525757,18175120,6d1ae19409f453159750ead0fd18446b
true,onnx-roberta-1,false,236410,0.2222650051116943,237373,2efe55d4bb78cc17d5d63ccc5bee2152
true,onnx-roberta-2,true,1149332,1.13118314743042,1150179,2a4837eda725649bfbcd4aaf26bfc481
