func_name,invoke_time_ms
pyhpc-isoneural-0,1052
rodinia-needle-4,1873
squeezenet-0,1940
rodinia-srad-0,2007
squeezenet-0,2019
rodinia-lud-3,2735
squeezenet-1,3683
rodinia-myocyte-4,3952
rodinia-needle-4,4412
rodinia-needle-4,4497
rodinia-lud-3,4569
onnx-roberta-1,5849
cupy-0,7596
squeezenet-1,7764
rodinia-lavamd-2,7783
pyhpc-isoneural-4,8138
squeezenet-1,8620
torch_rnn-4,8726
rodinia-lud-3,8814
onnx-roberta-3,9210
onnx-roberta-1,9779
rodinia-lud-1,9917
rodinia-lud-3,10243
squeezenet-1,10877
rodinia-lud-4,11642
rodinia-pathfinder-4,12322
rodinia-lud-0,12438
pyhpc-isoneural-1,12720
rodinia-needle-2,13201
rodinia-pathfinder-4,13551
pyhpc-isoneural-3,14205
cupy-0,14388
onnx-roberta-1,14844
onnx-roberta-2,15218
rodinia-pathfinder-4,15845
onnx-roberta-1,16342
rodinia-lavamd-2,16916
torch_rnn-2,17083
rodinia-pathfinder-4,17342
rodinia-srad-0,17390
rodinia-needle-4,17734
rodinia-srad-4,18251
rodinia-pathfinder-4,18581
squeezenet-1,18825
rodinia-lud-4,18911
rodinia-myocyte-4,19207
pyhpc-eos-4,20411
rodinia-srad-0,22488
pyhpc-eos-1,22851
torch_rnn-4,22857
rodinia-needle-2,23223
rodinia-needle-3,23366
squeezenet-0,23698
rodinia-lavamd-1,24048
rodinia-lavamd-4,24200
pyhpc-isoneural-0,24443
rodinia-needle-4,24724
rodinia-lud-1,25253
pyhpc-isoneural-3,26180
rodinia-srad-1,26297
rodinia-srad-3,26583
torch_rnn-1,27125
torch_rnn-0,27194
rodinia-lud-4,27679
rodinia-lud-2,28230
rodinia-lavamd-1,28437
squeezenet-0,28563
rodinia-lud-3,28843
rodinia-lud-4,28996
rodinia-myocyte-4,29242
rodinia-lud-4,29696
pyhpc-isoneural-0,30399
rodinia-lud-2,30409
rodinia-pathfinder-4,31175
rodinia-needle-4,31320
cupy-1,31687
pyhpc-eos-1,32155
cupy-4,33109
cupy-1,33468
rodinia-pathfinder-4,34450
squeezenet-1,34544
rodinia-lavamd-4,34747
pyhpc-eos-1,36018
rodinia-lud-1,36196
rodinia-pathfinder-4,36673
onnx-roberta-4,38318
pyhpc-isoneural-0,39580
rodinia-pathfinder-4,40084
torch_rnn-1,40318
rodinia-needle-4,40362
rodinia-srad-0,40514
pyhpc-isoneural-0,41101
rodinia-myocyte-2,41867
torch_rnn-2,42075
cupy-1,42296
rodinia-srad-4,42709
cupy-1,43191
rodinia-lud-2,43606
onnx-roberta-3,44114
cupy-1,44150
rodinia-lud-3,44440
rodinia-myocyte-2,44506
rodinia-lud-4,45190
pyhpc-eos-3,45302
torch_rnn-4,45339
squeezenet-0,45546
onnx-roberta-3,45613
rodinia-lud-0,45843
rodinia-lud-3,46110
torch_rnn-0,46118
torch_rnn-2,46226
pyhpc-isoneural-3,46432
pyhpc-isoneural-3,47194
rodinia-lavamd-1,48366
onnx-roberta-4,49617
rodinia-pathfinder-4,49740
pyhpc-eos-1,49939
squeezenet-1,50069
pyhpc-isoneural-0,51008
onnx-roberta-2,51532
onnx-roberta-2,52175
torch_rnn-2,52268
rodinia-needle-2,52753
rodinia-needle-2,53126
pyhpc-isoneural-3,53419
cupy-1,54637
rodinia-myocyte-2,54806
rodinia-lud-2,56497
onnx-roberta-2,56641
rodinia-needle-4,57692
rodinia-needle-3,58000
rodinia-myocyte-2,58491
onnx-roberta-0,59304
torch_rnn-1,59887
cupy-1,60241
rodinia-lavamd-3,60490
rodinia-myocyte-0,60856
rodinia-lud-0,61107
rodinia-pathfinder-4,61413
pyhpc-isoneural-1,61731
rodinia-lavamd-1,61807
rodinia-myocyte-2,61989
onnx-roberta-1,62102
onnx-roberta-2,63272
rodinia-needle-4,63304
onnx-roberta-0,63365
rodinia-myocyte-2,63488
pyhpc-eos-1,63534
onnx-roberta-0,63964
rodinia-lud-3,64038
pyhpc-isoneural-1,65174
onnx-roberta-2,65440
rodinia-lavamd-2,66032
rodinia-lud-0,66100
onnx-roberta-1,66200
pyhpc-isoneural-0,66968
rodinia-srad-0,67235
pyhpc-isoneural-1,67763
torch_rnn-1,68411
cupy-1,68804
rodinia-lud-4,69052
pyhpc-eos-4,69323
rodinia-srad-1,70667
rodinia-needle-2,70855
pyhpc-eos-3,71183
squeezenet-2,71218
cupy-4,72132
squeezenet-1,72207
squeezenet-0,72445
rodinia-needle-3,72608
rodinia-lavamd-2,73209
onnx-roberta-2,74718
torch_rnn-0,75289
pyhpc-eos-1,75679
rodinia-myocyte-4,75817
pyhpc-isoneural-1,76293
rodinia-lavamd-4,77507
torch_rnn-0,78224
squeezenet-1,78305
cupy-1,79296
squeezenet-1,79484
rodinia-lavamd-3,79571
squeezenet-0,79768
rodinia-srad-1,79927
rodinia-pathfinder-4,80226
pyhpc-eos-1,80381
rodinia-pathfinder-4,80551
rodinia-needle-3,81446
pyhpc-isoneural-1,81623
pyhpc-isoneural-1,81991
pyhpc-isoneural-0,82167
rodinia-lavamd-0,82174
pyhpc-eos-1,82177
pyhpc-isoneural-3,82348
rodinia-lud-3,82895
pyhpc-eos-1,82912
onnx-roberta-1,83513
torch_rnn-4,83675
torch_rnn-0,84736
rodinia-lavamd-3,85167
rodinia-lud-3,85176
rodinia-srad-1,86010
rodinia-myocyte-4,86165
pyhpc-isoneural-1,87616
onnx-roberta-1,88394
pyhpc-isoneural-1,88839
onnx-roberta-2,89159
onnx-roberta-3,89189
rodinia-lud-4,89838
pyhpc-isoneural-3,90503
onnx-roberta-3,90743
rodinia-srad-3,91254
cupy-1,91454
rodinia-myocyte-4,91643
onnx-roberta-3,93440
rodinia-lavamd-2,94001
rodinia-lavamd-3,94105
pyhpc-isoneural-3,94721
cupy-4,95030
rodinia-pathfinder-4,95499
rodinia-pathfinder-3,95546
pyhpc-eos-1,95767
onnx-roberta-2,95838
squeezenet-1,95953
rodinia-lud-3,96161
onnx-roberta-0,96494
rodinia-lud-3,96562
cupy-1,97055
pyhpc-isoneural-1,97761
rodinia-lavamd-2,97911
rodinia-lavamd-4,98486
onnx-roberta-2,98792
squeezenet-1,100148
pyhpc-eos-3,100622
rodinia-needle-2,100994
rodinia-needle-2,101197
rodinia-lud-2,101269
pyhpc-eos-1,102285
torch_rnn-0,103379
rodinia-lud-0,103487
pyhpc-isoneural-0,103840
rodinia-lud-4,104007
rodinia-srad-0,104848
pyhpc-isoneural-1,104884
cupy-4,104898
onnx-roberta-2,105074
onnx-roberta-2,105340
pyhpc-isoneural-1,106153
rodinia-srad-4,106585
onnx-roberta-0,106703
cupy-2,106772
squeezenet-1,106971
rodinia-pathfinder-4,107646
rodinia-lavamd-1,108115
rodinia-pathfinder-0,108147
rodinia-lud-2,108745
rodinia-lud-1,110738
pyhpc-eos-0,110773
rodinia-lud-2,110871
pyhpc-isoneural-1,110969
onnx-roberta-0,112605
rodinia-myocyte-4,113634
pyhpc-eos-1,113662
rodinia-pathfinder-3,114973
pyhpc-isoneural-1,115669
torch_rnn-0,115902
rodinia-lud-0,116276
rodinia-lud-1,116657
rodinia-needle-2,116705
pyhpc-eos-3,117537
onnx-roberta-2,117683
rodinia-srad-0,118000
torch_rnn-2,118206
squeezenet-0,118304
rodinia-lud-0,118387
onnx-roberta-2,118631
cupy-4,120150
torch_rnn-2,120485
rodinia-lud-0,121208
pyhpc-isoneural-1,121208
onnx-roberta-0,121454
squeezenet-0,121935
rodinia-pathfinder-4,122161
rodinia-pathfinder-4,123489
pyhpc-isoneural-3,124266
rodinia-pathfinder-4,124644
onnx-roberta-0,125572
rodinia-needle-4,125918
torch_rnn-1,126078
rodinia-myocyte-4,126700
rodinia-srad-2,126768
onnx-roberta-2,127101
rodinia-myocyte-2,128103
rodinia-srad-4,128112
torch_rnn-1,128130
rodinia-lavamd-3,128284
rodinia-needle-4,128415
rodinia-needle-2,128871
pyhpc-isoneural-2,128977
pyhpc-eos-4,130241
rodinia-srad-1,130434
rodinia-needle-3,130527
onnx-roberta-1,131425
rodinia-needle-2,132522
onnx-roberta-0,132559
squeezenet-4,132598
pyhpc-isoneural-1,132973
squeezenet-0,133453
pyhpc-eos-2,133692
rodinia-lud-0,134527
pyhpc-isoneural-3,135508
rodinia-pathfinder-3,136216
rodinia-lud-0,137101
rodinia-pathfinder-3,138278
onnx-roberta-2,138418
onnx-roberta-1,139564
onnx-roberta-2,139730
pyhpc-eos-0,139977
rodinia-needle-2,140026
rodinia-needle-3,140087
pyhpc-eos-0,141621
rodinia-myocyte-3,141655
torch_rnn-0,141953
rodinia-lud-3,142492
cupy-1,143598
pyhpc-isoneural-3,143776
cupy-4,143848
rodinia-needle-2,144211
pyhpc-eos-1,144799
rodinia-myocyte-3,145323
pyhpc-isoneural-0,146299
rodinia-lavamd-3,147070
rodinia-lavamd-2,147487
squeezenet-2,148469
pyhpc-isoneural-0,148593
rodinia-myocyte-4,148828
pyhpc-eos-1,149107
rodinia-lud-2,149441
rodinia-pathfinder-0,149518
rodinia-needle-4,150455
squeezenet-1,150830
rodinia-lavamd-3,150956
rodinia-srad-3,151188
rodinia-needle-4,151456
onnx-roberta-2,151551
squeezenet-1,151666
onnx-roberta-2,152999
rodinia-srad-3,153131
rodinia-myocyte-2,153253
onnx-roberta-0,153506
rodinia-needle-2,153846
onnx-roberta-3,154021
rodinia-pathfinder-0,154176
onnx-roberta-1,154811
rodinia-lud-1,155383
pyhpc-isoneural-3,157205
cupy-1,158441
onnx-roberta-3,159057
onnx-roberta-1,159075
rodinia-myocyte-4,159262
rodinia-myocyte-2,159435
rodinia-lud-0,159528
rodinia-lud-1,159862
squeezenet-1,160373
rodinia-lavamd-4,160833
rodinia-lavamd-2,162108
pyhpc-isoneural-3,162639
squeezenet-2,163443
rodinia-pathfinder-4,163472
torch_rnn-0,163852
rodinia-needle-4,164239
torch_rnn-0,164476
onnx-roberta-3,164936
pyhpc-eos-0,164994
onnx-roberta-2,165212
squeezenet-2,165966
torch_rnn-0,166236
squeezenet-1,166327
rodinia-needle-2,168138
pyhpc-eos-1,168142
torch_rnn-0,168210
squeezenet-0,168711
rodinia-pathfinder-0,168893
rodinia-lavamd-1,168989
rodinia-needle-3,169121
rodinia-needle-2,169718
rodinia-lavamd-2,172218
rodinia-pathfinder-3,172574
rodinia-myocyte-2,172723
rodinia-needle-2,173105
torch_rnn-2,173171
pyhpc-eos-2,173674
torch_rnn-1,173749
squeezenet-1,175570
rodinia-srad-0,176132
cupy-1,176489
torch_rnn-1,177135
rodinia-myocyte-4,177177
onnx-roberta-3,178143
rodinia-lavamd-2,178204
onnx-roberta-0,178664
rodinia-lud-1,179274
onnx-roberta-1,179299
rodinia-lavamd-2,179310
pyhpc-isoneural-1,179668
pyhpc-isoneural-1,180073
rodinia-needle-4,180153
pyhpc-eos-3,180958
pyhpc-isoneural-3,181647
rodinia-lavamd-1,181680
pyhpc-isoneural-0,182004
rodinia-needle-4,182401
onnx-roberta-1,182888
rodinia-pathfinder-4,183071
rodinia-myocyte-3,183631
torch_rnn-0,183665
rodinia-lud-4,183699
cupy-4,184602
onnx-roberta-1,185112
squeezenet-0,185716
torch_rnn-2,185943
rodinia-lud-1,185983
cupy-1,186032
pyhpc-isoneural-0,186381
pyhpc-eos-1,186408
onnx-roberta-2,186443
rodinia-lud-0,187678
rodinia-needle-4,189690
torch_rnn-0,189815
rodinia-lavamd-1,191005
pyhpc-isoneural-3,191316
onnx-roberta-1,191612
rodinia-needle-4,191637
rodinia-srad-0,192220
torch_rnn-2,192371
rodinia-needle-3,192803
cupy-1,192915
rodinia-srad-0,193039
rodinia-pathfinder-1,193060
rodinia-needle-4,193404
pyhpc-isoneural-3,194283
pyhpc-isoneural-0,195496
rodinia-needle-4,195898
squeezenet-0,196138
rodinia-myocyte-2,197144
rodinia-lud-1,197692
pyhpc-isoneural-0,198360
rodinia-lavamd-1,198542
pyhpc-isoneural-0,198551
rodinia-lud-2,198771
rodinia-srad-4,199866
rodinia-lud-1,199972
rodinia-lud-1,200883
pyhpc-eos-3,201407
rodinia-srad-0,201481
pyhpc-eos-4,202048
rodinia-lud-0,202132
pyhpc-isoneural-1,203239
pyhpc-eos-3,204301
rodinia-srad-1,204472
squeezenet-0,204910
torch_rnn-1,205221
rodinia-lud-0,206552
pyhpc-eos-1,206656
rodinia-lud-0,206725
rodinia-needle-4,206768
rodinia-pathfinder-4,207011
rodinia-needle-3,207031
pyhpc-isoneural-1,207228
squeezenet-2,207607
rodinia-needle-2,207692
pyhpc-eos-1,207715
rodinia-lavamd-1,207814
pyhpc-eos-1,207825
rodinia-srad-2,208221
pyhpc-isoneural-0,208393
rodinia-lavamd-1,209099
rodinia-srad-4,209343
rodinia-needle-2,210051
rodinia-lavamd-1,210285
rodinia-srad-0,211367
pyhpc-isoneural-1,211675
onnx-roberta-3,211920
onnx-roberta-1,212791
rodinia-srad-4,213026
rodinia-needle-2,213077
pyhpc-eos-1,213269
onnx-roberta-0,213865
rodinia-lud-0,213941
onnx-roberta-2,214764
onnx-roberta-1,215172
pyhpc-eos-4,215744
rodinia-myocyte-2,216392
onnx-roberta-2,216804
rodinia-needle-4,216825
pyhpc-isoneural-3,217230
rodinia-needle-3,217338
cupy-1,218551
pyhpc-isoneural-0,218567
rodinia-lud-0,218571
onnx-roberta-1,220062
rodinia-lud-1,220198
pyhpc-eos-3,220220
squeezenet-1,220321
rodinia-srad-0,220391
rodinia-lud-1,220510
rodinia-lud-4,220571
pyhpc-eos-1,220734
pyhpc-eos-3,220841
pyhpc-isoneural-1,220929
rodinia-lud-0,221096
onnx-roberta-3,221520
torch_rnn-1,221674
onnx-roberta-0,221699
rodinia-myocyte-2,222330
rodinia-myocyte-4,222554
cupy-1,222825
torch_rnn-1,222913
